gene_symbol	gene_code	associations	mean_prediction
ACOT12	HGNC:24436	0	 0.089
ACOT13	HGNC:20999	0	 0.099
ACOT2	HGNC:18431	0	 0.097
ACOT4	HGNC:19748	0	 0.092
ACOT6	HGNC:33159	0	 0.089
ACOT7	HGNC:24157	0	 0.116
ACOT8	HGNC:15919	0	 0.104
ACOT9	HGNC:17152	0	 0.107
ACOX1	HGNC:119	0	 0.127
ACOX2	HGNC:120	0	 0.110
ACOX3	HGNC:121	0	 0.103
ACOXL	HGNC:25621	1	 0.201
ACP1	HGNC:122	0	 0.112
ACP2	HGNC:123	0	 0.115
ACP5	HGNC:124	0	 0.129
ACP6	HGNC:29609	0	 0.099
ACPL2	HGNC:26303	0	 0.098
ACPP	HGNC:125	0	 0.108
ACPT	HGNC:14376	0	 0.089
ACR	HGNC:126	0	 0.105
ACRBP	HGNC:17195	0	 0.090
ACRC	HGNC:15805	0	 0.090
ACRV1	HGNC:127	0	 0.098
ACSBG1	HGNC:29567	0	 0.102
ACSBG2	HGNC:24174	0	 0.088
ACSF2	HGNC:26101	0	 0.097
ACSF3	HGNC:27288	0	 0.087
ACSL1	HGNC:3569	0	 0.153
ACSL3	HGNC:3570	0	 0.125
ACSL4	HGNC:3571	0	 0.123
ACSL5	HGNC:16526	0	 0.119
ACSL6	HGNC:16496	0	 0.106
ACSM1	HGNC:18049	0	 0.088
ACSM2A	HGNC:32017	0	 0.087
ACSM2B	HGNC:30931	0	 0.084
ACSM3	HGNC:10522	0	 0.097
ACSM4	HGNC:32016	0	 0.082
ACSM5	HGNC:26060	0	 0.092
ACSS1	HGNC:16091	0	 0.105
ACSS2	HGNC:15814	0	 0.103
ACSS3	HGNC:24723	0	 0.091
ACTA1	HGNC:129	0	 0.129
ACTA2	HGNC:130	0	 0.120
ACTB	HGNC:132	0	 0.150
ACTBL2	HGNC:17780	0	 0.087
ACTC1	HGNC:143	0	 0.117
ACTG1	HGNC:144	0	 0.130
ACTG2	HGNC:145	0	 0.112
ACTL10	HGNC:16127	0	 0.084
ACTL6A	HGNC:24124	0	 0.110
ACTL6B	HGNC:160	0	 0.101
ACTL7A	HGNC:161	0	 0.089
ACTL7B	HGNC:162	0	 0.089
ACTL8	HGNC:24018	0	 0.090
ACTL9	HGNC:28494	1	 0.246
ACTN1	HGNC:163	0	 0.173
ACTN2	HGNC:164	0	 0.138
ACTN3	HGNC:165	0	 0.106
ACTN4	HGNC:166	0	 0.137
ACTR10	HGNC:17372	0	 0.096
ACTR1A	HGNC:167	0	 0.118
ACTR1B	HGNC:168	0	 0.111
ACTR2	HGNC:169	0	 0.115
ACTR3	HGNC:170	0	 0.115
ACTR3B	HGNC:17256	0	 0.095
ACTR3C	HGNC:37282	0	 0.083
ACTR5	HGNC:14671	0	 0.090
ACTR6	HGNC:24025	0	 0.098
ACTR8	HGNC:14672	0	 0.091
ACTRT1	HGNC:24027	0	 0.087
ACTRT2	HGNC:24026	0	 0.087
ACTRT3	HGNC:24022	0	 0.086
ACVR1	HGNC:171	0	 0.173
ACVR1B	HGNC:172	0	 0.154
ACVR1C	HGNC:18123	0	 0.109
ACVR2A	HGNC:173	0	 0.168
ACVR2B	HGNC:174	0	 0.129
ACVRL1	HGNC:175	0	 0.141
ACY1	HGNC:177	0	 0.105
ACY3	HGNC:24104	0	 0.094
ACYP1	HGNC:179	0	 0.104
ACYP2	HGNC:180	0	 0.109
ADA	HGNC:186	0	 0.130
ADAD1	HGNC:30713	0	 0.088
ADAD2	HGNC:30714	0	 0.084
ADAL	HGNC:31853	0	 0.093
ADAM10	HGNC:188	0	 0.140
ADAM11	HGNC:189	0	 0.106
ADAM12	HGNC:190	0	 0.125
ADAM15	HGNC:193	0	 0.113
ADAM17	HGNC:195	0	 0.139
ADAM18	HGNC:196	0	 0.090
ADAM19	HGNC:197	0	 0.143
ADAM2	HGNC:198	0	 0.100
ADAM20	HGNC:199	0	 0.093
ADAM21	HGNC:200	0	 0.086
ADAM22	HGNC:201	0	 0.101
ADAM23	HGNC:202	0	 0.112
ADAM28	HGNC:206	0	 0.114
ADAM29	HGNC:207	1	 0.173
ADAM30	HGNC:208	1	 0.275
ADAM32	HGNC:15479	0	 0.091
ADAM33	HGNC:15478	0	 0.089
ADAM7	HGNC:214	0	 0.089
ADAM8	HGNC:215	0	 0.124
ADAM9	HGNC:216	0	 0.131
ADAMDEC1	HGNC:16299	0	 0.108
ADAMTS1	HGNC:217	0	 0.116
ADAMTS10	HGNC:13201	0	 0.094
ADAMTS12	HGNC:14605	0	 0.095
ADAMTS13	HGNC:1366	0	 0.102
ADAMTS14	HGNC:14899	0	 0.091
ADAMTS15	HGNC:16305	0	 0.092
ADAMTS16	HGNC:17108	0	 0.087
ADAMTS17	HGNC:17109	0	 0.090
ADAMTS18	HGNC:17110	0	 0.093
ADAMTS19	HGNC:17111	0	 0.093
ADAMTS2	HGNC:218	0	 0.104
ADAMTS20	HGNC:17178	0	 0.092
ADAMTS3	HGNC:219	0	 0.105
ADAMTS4	HGNC:220	0	 0.116
ADAMTS5	HGNC:221	0	 0.126
ADAMTS6	HGNC:222	0	 0.110
ADAMTS7	HGNC:223	1	 0.159
ADAMTS8	HGNC:224	0	 0.101
ADAMTS9	HGNC:13202	1	 0.200
ADAMTSL1	HGNC:14632	0	 0.097
ADAMTSL2	HGNC:14631	0	 0.096
ADAMTSL3	HGNC:14633	0	 0.100
ADAMTSL4	HGNC:19706	0	 0.108
ADAMTSL5	HGNC:27912	0	 0.091
ADAP1	HGNC:16486	0	 0.109
ADAP2	HGNC:16487	0	 0.111
ADAR	HGNC:225	0	 0.137
ADARB1	HGNC:226	0	 0.111
ADARB2	HGNC:227	0	 0.098
ADAT1	HGNC:228	0	 0.097
ADAT2	HGNC:21172	0	 0.091
ADAT3	HGNC:25151	0	 0.088
ADC	HGNC:29957	0	 0.092
ADCK1	HGNC:19038	0	 0.094
ADCK2	HGNC:19039	0	 0.095
ADCK3	HGNC:16812	0	 0.108
ADCK4	HGNC:19041	0	 0.097
ADCK5	HGNC:21738	0	 0.087
ADCY1	HGNC:232	0	 0.131
ADCY10	HGNC:21285	0	 0.101
ADCY2	HGNC:233	0	 0.128
ADCY3	HGNC:234	1	 0.245
ADCY4	HGNC:235	0	 0.122
ADCY5	HGNC:236	0	 0.112
ADCY6	HGNC:237	0	 0.136
ADCY7	HGNC:238	0	 0.167
ADCY8	HGNC:239	0	 0.141
ADCY9	HGNC:240	1	 0.244
ADCYAP1	HGNC:241	0	 0.120
ADCYAP1R1	HGNC:242	0	 0.110
ADD1	HGNC:243	0	 0.122
ADD2	HGNC:244	0	 0.099
ADD3	HGNC:245	0	 0.140
ADGB	HGNC:21212	0	 0.089
ADH1A	HGNC:249	0	 0.106
ADH1B	HGNC:250	0	 0.387
ADH1C	HGNC:251	0	 0.108
ADH4	HGNC:252	0	 0.107
ADH5	HGNC:253	0	 0.104
ADH6	HGNC:255	0	 0.100
ADH7	HGNC:256	0	 0.098
ADHFE1	HGNC:16354	0	 0.132
