gene_symbol	gene_code	associations	mean_prediction
FAM159B	HGNC:34236	0	 0.086
FAM160A1	HGNC:34237	0	 0.087
FAM160A2	HGNC:25378	0	 0.096
FAM160B1	HGNC:29320	0	 0.095
FAM160B2	HGNC:16492	0	 0.091
FAM161A	HGNC:25808	0	 0.089
FAM161B	HGNC:19854	0	 0.085
FAM162A	HGNC:17865	0	 0.109
FAM162B	HGNC:21549	0	 0.091
FAM163A	HGNC:28274	0	 0.089
FAM163B	HGNC:33277	0	 0.086
FAM166A	HGNC:33818	0	 0.087
FAM166B	HGNC:34242	0	 0.084
FAM167A	HGNC:15549	0	 0.093
FAM167B	HGNC:28133	0	 0.087
FAM168A	HGNC:28999	0	 0.098
FAM168B	HGNC:27016	0	 0.099
FAM169A	HGNC:29138	0	 0.100
FAM169B	HGNC:26835	0	 0.087
FAM170A	HGNC:27963	0	 0.088
FAM170B	HGNC:19736	0	 0.085
FAM171A1	HGNC:23522	0	 0.111
FAM171A2	HGNC:30480	0	 0.086
FAM171B	HGNC:29412	0	 0.092
FAM172A	HGNC:25365	0	 0.098
FAM173A	HGNC:14152	0	 0.096
FAM173B	HGNC:27029	0	 0.089
FAM174A	HGNC:24943	0	 0.098
FAM174B	HGNC:34339	0	 0.101
FAM175A	HGNC:25829	0	 0.093
FAM175B	HGNC:28975	0	 0.097
FAM177A1	HGNC:19829	0	 0.091
FAM177B	HGNC:34395	0	 0.084
FAM178A	HGNC:17814	0	 0.107
FAM178B	HGNC:28036	0	 0.089
FAM179A	HGNC:33715	0	 0.089
FAM179B	HGNC:19959	0	 0.098
FAM180A	HGNC:33773	0	 0.085
FAM180B	HGNC:34451	0	 0.082
FAM181A	HGNC:20491	0	 0.087
FAM181B	HGNC:28512	0	 0.092
FAM183A	HGNC:34347	0	 0.082
FAM183B	HGNC:34511	0	 0.084
FAM184A	HGNC:20991	0	 0.099
FAM184B	HGNC:29235	0	 0.088
FAM185A	HGNC:22412	0	 0.089
FAM186A	HGNC:26980	0	 0.086
FAM186B	HGNC:25296	0	 0.085
FAM187A	HGNC:35153	0	 0.083
FAM187B	HGNC:26366	0	 0.084
FAM188A	HGNC:23578	0	 0.099
FAM188B	HGNC:21916	0	 0.087
FAM188B2	HGNC:35475	0	 0.082
FAM189A1	HGNC:29075	0	 0.089
FAM189A2	HGNC:24820	0	 0.100
FAM189B	HGNC:1233	0	 0.103
FAM192A	HGNC:29856	0	 0.099
FAM193A	HGNC:16822	0	 0.093
FAM193B	HGNC:25524	0	 0.100
FAM194A	HGNC:28602	0	 0.087
FAM194B	HGNC:26523	0	 0.082
FAM195A	HGNC:14142	0	 0.090
FAM195B	HGNC:28007	0	 0.085
FAM196A	HGNC:33859	0	 0.086
FAM196B	HGNC:37271	0	 0.085
FAM197Y1	HGNC:37464	0	 0.082
FAM198A	HGNC:24485	0	 0.084
FAM198B	HGNC:25312	0	 0.105
FAM199X	HGNC:25195	0	 0.093
FAM19A1	HGNC:21587	0	 0.093
FAM19A2	HGNC:21589	0	 0.088
FAM19A3	HGNC:21590	0	 0.088
FAM19A4	HGNC:21591	0	 0.096
FAM19A5	HGNC:21592	0	 0.097
FAM200A	HGNC:25401	0	 0.087
FAM200B	HGNC:27740	0	 0.090
FAM203A	HGNC:24161	0	 0.095
FAM203B	HGNC:32323	0	 0.083
FAM204A	HGNC:25794	0	 0.092
FAM205A	HGNC:41911	0	 0.083
FAM206A	HGNC:1364	0	 0.095
FAM207A	HGNC:15811	0	 0.089
FAM208A	HGNC:30314	0	 0.103
FAM208B	HGNC:23484	0	 0.093
FAM209A	HGNC:16100	0	 0.084
FAM209B	HGNC:16101	0	 0.084
FAM20A	HGNC:23015	0	 0.095
FAM20B	HGNC:23017	0	 0.096
FAM20C	HGNC:22140	0	 0.098
FAM210A	HGNC:28346	0	 0.093
FAM210B	HGNC:16102	0	 0.097
FAM211A	HGNC:32403	0	 0.092
FAM211B	HGNC:33155	0	 0.088
FAM212A	HGNC:32480	0	 0.089
FAM212B	HGNC:28045	0	 0.094
FAM213A	HGNC:28651	0	 0.107
FAM213B	HGNC:28390	0	 0.099
FAM214A	HGNC:25609	0	 0.106
FAM214B	HGNC:25666	0	 0.121
FAM216A	HGNC:30180	0	 0.099
FAM216B	HGNC:26883	0	 0.086
FAM217A	HGNC:21362	0	 0.087
FAM217B	HGNC:16170	0	 0.094
FAM218A	HGNC:26466	0	 0.084
FAM219A	HGNC:19920	0	 0.098
FAM219B	HGNC:24695	0	 0.088
FAM21A	HGNC:23416	0	 0.089
FAM21B	HGNC:23417	0	 0.083
FAM21C	HGNC:23414	0	 0.085
FAM220A	HGNC:22422	0	 0.092
FAM221A	HGNC:27977	0	 0.088
FAM221B	HGNC:30762	0	 0.084
FAM222A	HGNC:25915	0	 0.090
FAM222B	HGNC:25563	0	 0.093
FAM227A	HGNC:44197	0	 0.085
FAM227B	HGNC:26543	0	 0.087
FAM228A	HGNC:34418	0	 0.084
FAM228B	HGNC:24736	0	 0.085
FAM229A	HGNC:44652	0	 0.084
FAM229B	HGNC:33858	0	 0.093
FAM231A	HGNC:49427	0	 0.082
FAM231B	HGNC:49506	0	 0.082
FAM231C	HGNC:49508	0	 0.082
FAM231D	HGNC:49509	0	 0.082
FAM24A	HGNC:23470	0	 0.083
FAM24B	HGNC:23475	0	 0.086
FAM25A	HGNC:23436	0	 0.083
FAM25B	HGNC:23584	0	 0.082
FAM25C	HGNC:23586	0	 0.084
FAM25E	HGNC:23587	0	 0.082
FAM25G	HGNC:23590	0	 0.082
FAM26D	HGNC:21094	0	 0.083
FAM26E	HGNC:21568	0	 0.091
FAM26F	HGNC:33391	0	 0.097
FAM27A	HGNC:19729	0	 0.083
FAM27E3	HGNC:28655	0	 0.085
FAM27L	HGNC:32410	0	 0.085
FAM32A	HGNC:24563	0	 0.100
FAM35A	HGNC:28773	0	 0.096
FAM3A	HGNC:13749	0	 0.093
FAM3B	HGNC:1253	0	 0.093
FAM3C	HGNC:18664	0	 0.114
FAM3D	HGNC:18665	0	 0.095
FAM43A	HGNC:26888	0	 0.100
FAM43B	HGNC:31791	0	 0.094
FAM45A	HGNC:31793	0	 0.096
FAM46A	HGNC:18345	1	 0.231
FAM46B	HGNC:28273	0	 0.093
FAM46C	HGNC:24712	0	 0.117
FAM46D	HGNC:28399	0	 0.084
FAM47A	HGNC:29962	0	 0.086
FAM47B	HGNC:26659	0	 0.086
FAM47C	HGNC:25301	0	 0.084
FAM47E	HGNC:34343	1	 0.181
FAM49A	HGNC:25373	0	 0.119
FAM49B	HGNC:25216	0	 0.102
FAM50A	HGNC:18786	0	 0.104
FAM50B	HGNC:18789	0	 0.096
FAM53A	HGNC:31860	0	 0.086
FAM53B	HGNC:28968	0	 0.115
FAM53C	HGNC:1336	0	 0.102
FAM57A	HGNC:29646	0	 0.099
FAM57B	HGNC:25295	0	 0.096
FAM58A	HGNC:28434	0	 0.087
FAM60A	HGNC:30702	0	 0.112
FAM63A	HGNC:25648	0	 0.105
FAM63B	HGNC:26954	0	 0.101
FAM64A	HGNC:25483	0	 0.099
FAM65A	HGNC:25836	0	 0.108
FAM65B	HGNC:13872	0	 0.116
FAM65C	HGNC:16168	0	 0.091
FAM69A	HGNC:32213	0	 0.107
FAM69B	HGNC:28290	0	 0.089
FAM69C	HGNC:31729	0	 0.085
FAM71A	HGNC:26541	0	 0.084
FAM71B	HGNC:28397	0	 0.089
FAM71C	HGNC:28594	0	 0.087
FAM71D	HGNC:20101	0	 0.086
FAM71E1	HGNC:25107	0	 0.086
FAM71E2	HGNC:25278	0	 0.084
FAM71F1	HGNC:30704	0	 0.088
FAM71F2	HGNC:27998	0	 0.086
FAM72A	HGNC:24044	0	 0.088
FAM72B	HGNC:24805	0	 0.084
FAM72C	HGNC:30602	0	 0.082
FAM72D	HGNC:33593	0	 0.085
FAM73A	HGNC:24741	0	 0.089
FAM73B	HGNC:23621	0	 0.095
FAM76A	HGNC:28530	0	 0.094
FAM76B	HGNC:28492	0	 0.098
FAM78A	HGNC:25465	0	 0.099
FAM78B	HGNC:13495	0	 0.086
FAM81A	HGNC:28379	0	 0.098
FAM81B	HGNC:26335	0	 0.092
FAM83A	HGNC:28210	0	 0.091
FAM83B	HGNC:21357	0	 0.090
FAM83C	HGNC:16121	0	 0.087
FAM83D	HGNC:16122	0	 0.099
FAM83E	HGNC:25972	0	 0.089
FAM83F	HGNC:25148	0	 0.092
FAM83G	HGNC:32554	0	 0.088
FAM83H	HGNC:24797	0	 0.090
FAM84A	HGNC:20743	0	 0.093
FAM84B	HGNC:24166	0	 0.100
FAM86A	HGNC:32221	0	 0.086
FAM86B1	HGNC:28268	0	 0.088
FAM86B2	HGNC:32222	0	 0.088
FAM86C1	HGNC:25561	0	 0.089
FAM89A	HGNC:25057	0	 0.096
FAM89B	HGNC:16708	0	 0.102
FAM8A1	HGNC:16372	0	 0.104
FAM90A1	HGNC:25526	0	 0.084
FAM91A1	HGNC:26306	0	 0.103
FAM92A1	HGNC:30452	0	 0.094
FAM92B	HGNC:24781	0	 0.084
FAM96A	HGNC:26235	0	 0.099
FAM96B	HGNC:24261	0	 0.095
FAM98A	HGNC:24520	0	 0.105
FAM98B	HGNC:26773	0	 0.093
FAM98C	HGNC:27119	0	 0.087
FAM9A	HGNC:18403	0	 0.084
FAM9B	HGNC:18404	0	 0.084
FAM9C	HGNC:18405	0	 0.082
FAN1	HGNC:29170	0	 0.092
FANCA	HGNC:3582	0	 0.118
FANCB	HGNC:3583	0	 0.101
FANCC	HGNC:3584	0	 0.109
FANCD2	HGNC:3585	0	 0.100
FANCD2OS	HGNC:28623	0	 0.086
FANCE	HGNC:3586	0	 0.099
FANCF	HGNC:3587	0	 0.108
FANCG	HGNC:3588	0	 0.110
FANCI	HGNC:25568	0	 0.105
FANCL	HGNC:20748	1	 0.204
FANCM	HGNC:23168	0	 0.097
FANK1	HGNC:23527	0	 0.093
FAP	HGNC:3590	0	 0.115
FAR1	HGNC:26222	0	 0.102
FAR2	HGNC:25531	0	 0.107
FARP1	HGNC:3591	0	 0.110
FARP2	HGNC:16460	2	 0.332
FARS2	HGNC:21062	0	 0.098
FARSA	HGNC:3592	0	 0.104
FARSB	HGNC:17800	0	 0.101
FAS	HGNC:11920	1	 0.587
FASLG	HGNC:11936	0	 0.338
FASN	HGNC:3594	0	 0.112
FASTK	HGNC:24676	0	 0.109
FASTKD1	HGNC:26150	0	 0.100
FASTKD2	HGNC:29160	0	 0.097
FASTKD3	HGNC:28758	0	 0.088
FASTKD5	HGNC:25790	0	 0.091
FAT1	HGNC:3595	0	 0.107
FAT2	HGNC:3596	0	 0.101
FAT3	HGNC:23112	0	 0.089
FAT4	HGNC:23109	0	 0.094
FATE1	HGNC:24683	0	 0.088
FAU	HGNC:3597	0	 0.109
FAXC	HGNC:20742	0	 0.093
FAXDC2	HGNC:1334	0	 0.092
FBF1	HGNC:24674	0	 0.090
FBL	HGNC:3599	0	 0.110
FBLIM1	HGNC:24686	0	 0.100
FBLN1	HGNC:3600	0	 0.116
FBLN2	HGNC:3601	0	 0.116
FBLN5	HGNC:3602	0	 0.113
FBLN7	HGNC:26740	0	 0.093
FBN1	HGNC:3603	0	 0.279
FBN2	HGNC:3604	0	 0.121
FBN3	HGNC:18794	0	 0.089
FBP1	HGNC:3606	0	 0.125
FBP2	HGNC:3607	0	 0.099
FBRS	HGNC:20442	0	 0.106
FBRSL1	HGNC:29308	0	 0.090
FBXL12	HGNC:13611	0	 0.105
FBXL13	HGNC:21658	0	 0.091
FBXL14	HGNC:28624	0	 0.097
FBXL15	HGNC:28155	0	 0.092
FBXL16	HGNC:14150	0	 0.093
FBXL17	HGNC:13615	0	 0.091
FBXL18	HGNC:21874	0	 0.094
FBXL19	HGNC:25300	1	 0.345
FBXL2	HGNC:13598	0	 0.103
FBXL20	HGNC:24679	0	 0.098
FBXL21	HGNC:13600	0	 0.087
FBXL22	HGNC:27537	0	 0.089
FBXL3	HGNC:13599	0	 0.104
FBXL4	HGNC:13601	0	 0.097
FBXL5	HGNC:13602	0	 0.113
FBXL6	HGNC:13603	0	 0.097
FBXL7	HGNC:13604	0	 0.106
FBXL8	HGNC:17875	0	 0.095
FBXO10	HGNC:13589	0	 0.088
FBXO11	HGNC:13590	0	 0.119
FBXO15	HGNC:13617	0	 0.092
FBXO16	HGNC:13618	0	 0.094
FBXO17	HGNC:18754	0	 0.096
FBXO18	HGNC:13620	0	 0.097
FBXO2	HGNC:13581	0	 0.115
FBXO21	HGNC:13592	0	 0.105
FBXO22	HGNC:13593	0	 0.100
FBXO24	HGNC:13595	0	 0.095
FBXO25	HGNC:13596	0	 0.095
FBXO27	HGNC:18753	0	 0.095
FBXO28	HGNC:29046	0	 0.100
FBXO3	HGNC:13582	0	 0.110
FBXO30	HGNC:15600	0	 0.096
FBXO31	HGNC:16510	0	 0.093
FBXO32	HGNC:16731	0	 0.105
FBXO33	HGNC:19833	0	 0.105
FBXO34	HGNC:20201	0	 0.102
FBXO36	HGNC:27020	0	 0.092
FBXO38	HGNC:28844	0	 0.092
FBXO39	HGNC:28565	0	 0.087
FBXO4	HGNC:13583	0	 0.106
FBXO40	HGNC:29816	0	 0.093
FBXO41	HGNC:29409	0	 0.092
FBXO42	HGNC:29249	0	 0.097
FBXO43	HGNC:28521	0	 0.090
FBXO44	HGNC:24847	0	 0.095
FBXO45	HGNC:29148	0	 0.093
FBXO46	HGNC:25069	0	 0.094
FBXO47	HGNC:31969	0	 0.083
FBXO48	HGNC:33857	0	 0.084
FBXO5	HGNC:13584	0	 0.113
FBXO6	HGNC:13585	0	 0.115
FBXO7	HGNC:13586	0	 0.108
FBXO8	HGNC:13587	0	 0.101
FBXO9	HGNC:13588	0	 0.103
FBXW10	HGNC:1211	0	 0.088
FBXW11	HGNC:13607	0	 0.135
FBXW12	HGNC:20729	0	 0.092
FBXW2	HGNC:13608	0	 0.103
FBXW4	HGNC:10847	0	 0.107
FBXW5	HGNC:13613	0	 0.093
FBXW7	HGNC:16712	0	 0.133
FBXW8	HGNC:13597	0	 0.110
FBXW9	HGNC:28136	0	 0.098
FCAMR	HGNC:24692	0	 0.090
FCAR	HGNC:3608	0	 0.110
FCER1A	HGNC:3609	0	 0.119
FCER1G	HGNC:3611	0	 0.150
FCER2	HGNC:3612	0	 0.144
FCF1	HGNC:20220	0	 0.089
FCGBP	HGNC:13572	0	 0.104
FCGR1A	HGNC:3613	0	 0.148
FCGR1B	HGNC:3614	0	 0.107
FCGR2A	HGNC:3616	1	 1.676
FCGR2B	HGNC:3618	0	 0.180
FCGR2C	HGNC:15626	0	 0.112
FCGR3A	HGNC:3619	0	 0.131
FCGR3B	HGNC:3620	0	 0.122
FCGRT	HGNC:3621	0	 0.128
FCHO1	HGNC:29002	0	 0.100
FCHO2	HGNC:25180	0	 0.099
FCHSD1	HGNC:25463	0	 0.091
FCHSD2	HGNC:29114	0	 0.115
FCN1	HGNC:3623	0	 0.125
FCN2	HGNC:3624	0	 0.103
FCN3	HGNC:3625	0	 0.097
FCRL1	HGNC:18509	0	 0.096
FCRL2	HGNC:14875	0	 0.107
FCRL3	HGNC:18506	1	 0.384
FCRL4	HGNC:18507	0	 0.087
FCRL5	HGNC:18508	0	 0.088
FCRL6	HGNC:31910	0	 0.082
FCRLA	HGNC:18504	0	 0.101
FCRLB	HGNC:26431	0	 0.090
FDCSP	HGNC:19215	0	 0.089
FDFT1	HGNC:3629	0	 0.127
FDPS	HGNC:3631	0	 0.115
FDX1	HGNC:3638	0	 0.106
FDX1L	HGNC:30546	0	 0.089
FDXACB1	HGNC:25110	0	 0.085
FDXR	HGNC:3642	0	 0.110
FECH	HGNC:3647	0	 0.103
FEM1A	HGNC:16934	0	 0.105
FEM1B	HGNC:3649	0	 0.100
FEM1C	HGNC:16933	0	 0.108
FEN1	HGNC:3650	0	 0.121
FER	HGNC:3655	0	 0.112
FER1L5	HGNC:19044	0	 0.083
FER1L6	HGNC:28065	0	 0.084
FERD3L	HGNC:16660	0	 0.097
FERMT1	HGNC:15889	0	 0.096
FERMT2	HGNC:15767	0	 0.120
FERMT3	HGNC:23151	0	 0.104
FES	HGNC:3657	0	 0.134
FETUB	HGNC:3658	0	 0.099
FEV	HGNC:18562	0	 0.109
FEZ1	HGNC:3659	0	 0.123
FEZ2	HGNC:3660	0	 0.117
FEZF1	HGNC:22788	0	 0.085
FEZF2	HGNC:13506	0	 0.099
FFAR1	HGNC:4498	0	 0.093
FFAR2	HGNC:4501	0	 0.117
FFAR3	HGNC:4499	0	 0.099
FFAR4	HGNC:19061	0	 0.093
FGA	HGNC:3661	0	 0.128
FGB	HGNC:3662	0	 0.126
FGD1	HGNC:3663	0	 0.118
FGD2	HGNC:3664	0	 0.108
FGD3	HGNC:16027	0	 0.100
FGD4	HGNC:19125	0	 0.112
FGD5	HGNC:19117	0	 0.099
FGD6	HGNC:21740	0	 0.112
FGF1	HGNC:3665	0	 0.134
FGF10	HGNC:3666	0	 0.136
FGF11	HGNC:3667	0	 0.110
FGF12	HGNC:3668	0	 0.122
FGF13	HGNC:3670	0	 0.134
FGF14	HGNC:3671	0	 0.107
FGF16	HGNC:3672	0	 0.104
FGF17	HGNC:3673	0	 0.118
FGF18	HGNC:3674	0	 0.124
FGF19	HGNC:3675	0	 0.108
FGF2	HGNC:3676	0	 0.140
FGF20	HGNC:3677	0	 0.112
FGF21	HGNC:3678	0	 0.105
FGF22	HGNC:3679	0	 0.100
FGF23	HGNC:3680	0	 0.103
FGF3	HGNC:3681	0	 0.121
FGF4	HGNC:3682	0	 0.120
FGF5	HGNC:3683	0	 0.127
FGF6	HGNC:3684	0	 0.126
FGF7	HGNC:3685	0	 0.142
FGF8	HGNC:3686	0	 0.111
FGF9	HGNC:3687	0	 0.154
FGFBP1	HGNC:19695	0	 0.114
FGFBP2	HGNC:29451	0	 0.090
FGFBP3	HGNC:23428	0	 0.088
FGFR1	HGNC:3688	0	 0.171
FGFR1OP	HGNC:17012	0	 0.102
FGFR1OP2	HGNC:23098	0	 0.097
FGFR2	HGNC:3689	1	 0.256
FGFR3	HGNC:3690	0	 0.165
FGFR4	HGNC:3691	0	 0.134
FGFRL1	HGNC:3693	0	 0.094
FGG	HGNC:3694	0	 0.120
FGGY	HGNC:25610	0	 0.094
FGL1	HGNC:3695	0	 0.103
FGL2	HGNC:3696	0	 0.132
FGR	HGNC:3697	0	 0.154
FH	HGNC:3700	0	 0.118
FHAD1	HGNC:29408	0	 0.087
FHDC1	HGNC:29363	0	 0.094
FHIT	HGNC:3701	0	 0.114
FHL1	HGNC:3702	0	 0.130
FHL2	HGNC:3703	0	 0.141
FHL3	HGNC:3704	0	 0.111
FHL5	HGNC:17371	1	 0.166
FHOD1	HGNC:17905	0	 0.106
FHOD3	HGNC:26178	0	 0.102
FIBCD1	HGNC:25922	0	 0.090
FIBIN	HGNC:33747	0	 0.092
FIBP	HGNC:3705	0	 0.105
FICD	HGNC:18416	0	 0.097
FIG4	HGNC:16873	0	 0.104
FIGF	HGNC:3708	0	 0.127
FIGLA	HGNC:24669	0	 0.088
FIGN	HGNC:13285	0	 0.100
FIGNL1	HGNC:13286	0	 0.095
FIGNL2	HGNC:13287	0	 0.084
FILIP1	HGNC:21015	0	 0.096
FILIP1L	HGNC:24589	0	 0.103
FIP1L1	HGNC:19124	0	 0.098
FIS1	HGNC:21689	0	 0.111
FITM1	HGNC:33714	0	 0.092
FITM2	HGNC:16135	0	 0.088
FIZ1	HGNC:25917	0	 0.092
FJX1	HGNC:17166	0	 0.118
FKBP10	HGNC:18169	0	 0.097
FKBP11	HGNC:18624	0	 0.109
FKBP14	HGNC:18625	0	 0.097
FKBP15	HGNC:23397	0	 0.097
FKBP1A	HGNC:3711	0	 0.139
FKBP1B	HGNC:3712	0	 0.103
FKBP2	HGNC:3718	0	 0.111
FKBP3	HGNC:3719	0	 0.107
FKBP4	HGNC:3720	0	 0.122
FKBP5	HGNC:3721	0	 0.132
FKBP6	HGNC:3722	0	 0.097
FKBP7	HGNC:3723	0	 0.092
FKBP8	HGNC:3724	0	 0.110
FKBP9	HGNC:3725	0	 0.106
FKBP9L	HGNC:23568	0	 0.083
FKBPL	HGNC:13949	0	 0.097
FKRP	HGNC:17997	0	 0.092
FKTN	HGNC:3622	0	 0.097
FLAD1	HGNC:24671	0	 0.095
FLCN	HGNC:27310	0	 0.094
FLG	HGNC:3748	1	 0.283
FLG2	HGNC:33276	0	 0.085
FLI1	HGNC:3749	0	 0.131
FLII	HGNC:3750	0	 0.103
FLNA	HGNC:3754	0	 0.149
FLNB	HGNC:3755	0	 0.140
FLNC	HGNC:3756	0	 0.115
FLOT1	HGNC:3757	0	 0.129
FLOT2	HGNC:3758	0	 0.112
FLRT1	HGNC:3760	0	 0.094
FLRT2	HGNC:3761	0	 0.106
FLRT3	HGNC:3762	0	 0.107
FLT1	HGNC:3763	0	 0.179
FLT3	HGNC:3765	0	 0.156
FLT3LG	HGNC:3766	0	 0.130
FLT4	HGNC:3767	0	 0.131
FLVCR1	HGNC:24682	0	 0.097
FLVCR2	HGNC:20105	0	 0.101
FLYWCH1	HGNC:25404	0	 0.090
FLYWCH2	HGNC:25178	0	 0.092
FMN1	HGNC:3768	0	 0.091
FMN2	HGNC:14074	0	 0.095
FMNL1	HGNC:1212	0	 0.110
FMNL2	HGNC:18267	0	 0.110
FMNL3	HGNC:23698	0	 0.097
FMO1	HGNC:3769	0	 0.100
FMO2	HGNC:3770	0	 0.098
FMO3	HGNC:3771	0	 0.102
FMO4	HGNC:3772	0	 0.095
FMO5	HGNC:3773	0	 0.102
FMOD	HGNC:3774	0	 0.120
FMR1	HGNC:3775	0	 0.121
FMR1NB	HGNC:26372	0	 0.087
FN1	HGNC:3778	0	 0.182
FN3K	HGNC:24822	0	 0.088
FN3KRP	HGNC:25700	0	 0.091
FNBP1	HGNC:17069	0	 0.117
FNBP1L	HGNC:20851	0	 0.115
FNBP4	HGNC:19752	0	 0.111
FNDC1	HGNC:21184	0	 0.093
FNDC3A	HGNC:20296	0	 0.114
FNDC3B	HGNC:24670	0	 0.113
FNDC4	HGNC:20239	0	 0.093
FNDC5	HGNC:20240	0	 0.093
FNDC7	HGNC:26668	0	 0.086
FNDC8	HGNC:25286	0	 0.093
FNDC9	HGNC:33547	0	 0.088
FNIP1	HGNC:29418	0	 0.093
FNIP2	HGNC:29280	0	 0.093
FNTA	HGNC:3782	0	 0.118
FNTB	HGNC:3785	0	 0.104
FOCAD	HGNC:23377	0	 0.093
FOLH1	HGNC:3788	0	 0.098
FOLH1B	HGNC:13636	0	 0.089
FOLR1	HGNC:3791	0	 0.120
FOLR2	HGNC:3793	0	 0.109
FOLR3	HGNC:3795	0	 0.099
FOLR4	HGNC:32565	0	 0.093
FOPNL	HGNC:26435	0	 0.092
FOS	HGNC:3796	0	 0.331
FOSB	HGNC:3797	0	 0.138
FOSL1	HGNC:13718	0	 0.167
FOSL2	HGNC:3798	1	 0.622
FOXA1	HGNC:5021	0	 0.116
FOXA2	HGNC:5022	0	 0.157
FOXA3	HGNC:5023	0	 0.154
FOXB1	HGNC:3799	0	 0.100
FOXB2	HGNC:23315	0	 0.087
FOXC1	HGNC:3800	0	 0.113
FOXC2	HGNC:3801	0	 0.101
FOXD1	HGNC:3802	0	 0.106
FOXD2	HGNC:3803	0	 0.096
FOXD3	HGNC:3804	0	 0.111
FOXD4	HGNC:3805	0	 0.089
FOXD4L1	HGNC:18521	0	 0.088
FOXD4L2	HGNC:24813	0	 0.082
FOXD4L3	HGNC:18523	0	 0.085
FOXD4L4	HGNC:23762	0	 0.085
FOXD4L5	HGNC:18522	0	 0.082
FOXD4L6	HGNC:31986	0	 0.083
FOXE1	HGNC:3806	0	 0.707
FOXE3	HGNC:3808	0	 0.096
FOXF1	HGNC:3809	0	 0.370
FOXF2	HGNC:3810	0	 0.121
FOXG1	HGNC:3811	0	 0.125
FOXH1	HGNC:3814	0	 0.113
FOXI1	HGNC:3815	0	 0.095
FOXI2	HGNC:32448	0	 0.085
FOXI3	HGNC:35123	0	 0.082
FOXJ1	HGNC:3816	0	 0.106
FOXJ2	HGNC:24818	0	 0.106
FOXJ3	HGNC:29178	0	 0.104
FOXK1	HGNC:23480	0	 0.093
FOXK2	HGNC:6036	0	 0.112
FOXL1	HGNC:3817	0	 0.095
FOXL2	HGNC:1092	0	 0.109
FOXM1	HGNC:3818	0	 0.115
FOXN1	HGNC:12765	0	 0.099
FOXN2	HGNC:5281	0	 0.099
FOXN3	HGNC:1928	0	 0.141
FOXN4	HGNC:21399	0	 0.087
FOXO1	HGNC:3819	0	 0.184
FOXO3	HGNC:3821	0	 0.181
FOXO4	HGNC:7139	0	 0.147
FOXO6	HGNC:24814	0	 0.086
FOXP1	HGNC:3823	0	 0.132
FOXP2	HGNC:13875	0	 0.111
FOXP3	HGNC:6106	0	 0.138
FOXP4	HGNC:20842	0	 0.095
FOXQ1	HGNC:20951	0	 0.099
FOXR1	HGNC:29980	0	 0.084
FOXR2	HGNC:30469	0	 0.084
FOXRED1	HGNC:26927	0	 0.093
FOXRED2	HGNC:26264	0	 0.092
FOXS1	HGNC:3735	0	 0.096
FPGS	HGNC:3824	0	 0.100
FPGT	HGNC:3825	0	 0.095
FPR1	HGNC:3826	0	 0.138
FPR2	HGNC:3827	0	 0.126
FPR3	HGNC:3828	0	 0.112
FRA10AC1	HGNC:1162	0	 0.096
FRAS1	HGNC:19185	0	 0.103
FRAT1	HGNC:3944	0	 0.110
FRAT2	HGNC:16048	0	 0.108
FREM1	HGNC:23399	0	 0.087
FREM2	HGNC:25396	0	 0.088
FREM3	HGNC:25172	0	 0.084
FRG1	HGNC:3954	0	 0.092
FRG2	HGNC:19136	0	 0.082
FRG2B	HGNC:33518	0	 0.082
FRG2C	HGNC:33626	0	 0.083
FRK	HGNC:3955	0	 0.102
FRMD1	HGNC:21240	0	 0.089
FRMD3	HGNC:24125	0	 0.090
FRMD4A	HGNC:25491	0	 0.110
FRMD4B	HGNC:24886	0	 0.109
FRMD5	HGNC:28214	0	 0.102
FRMD6	HGNC:19839	0	 0.109
FRMD7	HGNC:8079	0	 0.086
FRMD8	HGNC:25462	0	 0.094
FRMPD1	HGNC:29159	0	 0.095
FRMPD2	HGNC:28572	0	 0.087
FRMPD3	HGNC:29382	0	 0.085
FRMPD4	HGNC:29007	0	 0.092
FRRS1	HGNC:27622	0	 0.092
FRRS1L	HGNC:1362	0	 0.084
FRS2	HGNC:16971	0	 0.117
FRS3	HGNC:16970	0	 0.097
FRY	HGNC:20367	0	 0.113
FRYL	HGNC:29127	0	 0.106
FRZB	HGNC:3959	0	 0.116
FSBP	HGNC:43653	0	 0.082
FSCB	HGNC:20494	0	 0.088
FSCN1	HGNC:11148	0	 0.128
FSCN2	HGNC:3960	0	 0.100
FSCN3	HGNC:3961	0	 0.087
FSD1	HGNC:13745	0	 0.093
FSD1L	HGNC:13753	0	 0.100
FSD2	HGNC:18024	0	 0.086
FSHB	HGNC:3964	0	 0.103
FSHR	HGNC:3969	0	 0.267
FSIP1	HGNC:21674	0	 0.088
FSIP2	HGNC:21675	0	 0.088
FST	HGNC:3971	0	 0.139
FSTL1	HGNC:3972	0	 0.136
FSTL3	HGNC:3973	0	 0.107
FSTL4	HGNC:21389	0	 0.094
FSTL5	HGNC:21386	0	 0.097
FTCD	HGNC:3974	0	 0.102
FTCDNL1	HGNC:48661	0	 0.190
FTH1	HGNC:3976	0	 0.137
FTHL17	HGNC:3987	0	 0.089
FTL	HGNC:3999	0	 0.124
FTMT	HGNC:17345	0	 0.089
FTO	HGNC:24678	4	 1.021
FTSJ1	HGNC:13254	0	 0.100
FTSJ2	HGNC:16352	0	 0.092
FTSJ3	HGNC:17136	0	 0.093
