gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
ABI2	HGNC:24011	-	0	 0.117	 0.166
ABI3	HGNC:29859	-	0	 0.107	 0.152
ABI3BP	HGNC:17265	-	0	 0.105	 0.128
ABL1	HGNC:76	-	0	 0.169	 0.228
ABL2	HGNC:77	-	0	 0.125	 0.156
ABLIM1	HGNC:78	-	0	 0.150	 0.170
ABLIM2	HGNC:19195	-	0	 0.094	 0.107
ABLIM3	HGNC:29132	-	0	 0.113	 0.121
ABO	HGNC:79	-	3	 0.598	 0.629
ABR	HGNC:81	-	0	 0.120	 0.163
ABRA	HGNC:30655	-	0	 0.094	 0.103
ABRACL	HGNC:21230	-	0	 0.097	 0.118
ABT1	HGNC:17369	-	0	 0.101	 0.121
ABTB1	HGNC:18275	-	0	 0.101	 0.128
ABTB2	HGNC:23842	-	0	 0.115	 0.166
ACAA1	HGNC:82	-	0	 0.115	 0.223
ACAA2	HGNC:83	-	0	 0.115	 0.155
ACACA	HGNC:84	-	0	 0.126	 0.156
ACACB	HGNC:85	-	0	 0.109	 0.128
ACAD10	HGNC:21597	-	0	 0.089	 0.096
ACAD11	HGNC:30211	-	0	 0.088	 0.105
ACAD8	HGNC:87	-	0	 0.105	 0.114
ACAD9	HGNC:21497	-	0	 0.093	 0.106
ACADL	HGNC:88	-	0	 0.109	 0.128
ACADM	HGNC:89	-	0	 0.123	 0.163
ACADS	HGNC:90	-	0	 0.112	 0.123
ACADSB	HGNC:91	-	0	 0.116	 0.139
ACADVL	HGNC:92	-	0	 0.118	 0.165
ACAN	HGNC:319	-	0	 0.110	 0.119
ACAP1	HGNC:16467	-	0	 0.119	 0.238
ACAP2	HGNC:16469	-	0	 0.109	 0.140
ACAP3	HGNC:16754	-	0	 0.095	 0.110
ACAT1	HGNC:93	-	0	 0.116	 0.135
ACAT2	HGNC:94	-	0	 0.111	 0.131
ACBD3	HGNC:15453	-	0	 0.105	 0.137
ACBD4	HGNC:23337	-	0	 0.092	 0.116
ACBD5	HGNC:23338	-	0	 0.094	 0.116
ACBD6	HGNC:23339	-	0	 0.098	 0.120
ACBD7	HGNC:17715	-	0	 0.084	 0.091
ACCS	HGNC:23989	-	0	 0.090	 0.103
ACCSL	HGNC:34391	-	0	 0.086	 0.091
ACD	HGNC:25070	-	0	 0.110	 0.154
ACE	HGNC:2707	-	0	 0.116	 0.169
ACE2	HGNC:13557	-	0	 0.104	 0.131
ACER1	HGNC:18356	-	0	 0.090	 0.098
ACER2	HGNC:23675	-	0	 0.095	 0.101
ACER3	HGNC:16066	-	0	 0.098	 0.119
ACHE	HGNC:108	-	0	 0.118	 0.156
ACIN1	HGNC:17066	-	0	 0.123	 0.148
ACKR2	HGNC:1565	-	0	 0.123	 0.142
ACKR3	HGNC:23692	-	0	 0.129	 0.165
ACKR4	HGNC:1611	-	0	 0.115	 0.140
ACLY	HGNC:115	-	0	 0.116	 0.155
ACMSD	HGNC:19288	-	0	 0.086	 0.093
ACN9	HGNC:21752	-	0	 0.093	 0.112
ACO1	HGNC:117	-	0	 0.111	 0.135
ACO2	HGNC:118	-	0	 0.116	 0.143
ACOT1	HGNC:33128	-	0	 0.094	 0.159
ACOT11	HGNC:18156	-	0	 0.098	 0.121
ACOT12	HGNC:24436	-	0	 0.089	 0.108
ACOT13	HGNC:20999	-	0	 0.099	 0.133
ACOT2	HGNC:18431	-	0	 0.097	 0.163
ACOT4	HGNC:19748	-	0	 0.092	 0.157
ACOT6	HGNC:33159	-	0	 0.089	 0.099
ACOT7	HGNC:24157	-	0	 0.116	 0.193
ACOT8	HGNC:15919	-	0	 0.104	 0.185
ACOT9	HGNC:17152	-	0	 0.107	 0.148
ACOX1	HGNC:119	-	0	 0.127	 0.238
ACOX2	HGNC:120	-	0	 0.110	 0.150
ACOX3	HGNC:121	-	0	 0.103	 0.176
ACOXL	HGNC:25621	-	1	 0.201	 0.352
ACP1	HGNC:122	-	0	 0.112	 0.143
ACP2	HGNC:123	-	0	 0.115	 0.153
ACP5	HGNC:124	-	0	 0.129	 0.174
ACP6	HGNC:29609	-	0	 0.099	 0.118
ACPL2	HGNC:26303	-	0	 0.098	 0.121
ACPP	HGNC:125	-	0	 0.108	 0.130
ACPT	HGNC:14376	-	0	 0.089	 0.094
ACR	HGNC:126	-	0	 0.105	 0.118
ACRBP	HGNC:17195	-	0	 0.090	 0.122
ACRC	HGNC:15805	-	0	 0.090	 0.107
ACRV1	HGNC:127	-	0	 0.098	 0.117
ACSBG1	HGNC:29567	-	0	 0.102	 0.123
ACSBG2	HGNC:24174	-	0	 0.088	 0.099
ACSF2	HGNC:26101	-	0	 0.097	 0.109
ACSF3	HGNC:27288	-	0	 0.087	 0.097
ACSL1	HGNC:3569	-	0	 0.153	 0.297
ACSL3	HGNC:3570	-	0	 0.125	 0.186
ACSL4	HGNC:3571	-	0	 0.123	 0.198
ACSL5	HGNC:16526	-	0	 0.119	 0.176
ACSL6	HGNC:16496	± HC-S	0	 0.106	 0.136
ACSM1	HGNC:18049	-	0	 0.088	 0.094
ACSM2A	HGNC:32017	-	0	 0.087	 0.092
ACSM2B	HGNC:30931	-	0	 0.084	 0.090
ACSM3	HGNC:10522	-	0	 0.097	 0.122
ACSM4	HGNC:32016	-	0	 0.082	 0.088
ACSM5	HGNC:26060	-	0	 0.092	 0.107
ACSS1	HGNC:16091	-	0	 0.105	 0.117
ACSS2	HGNC:15814	-	0	 0.103	 0.115
ACSS3	HGNC:24723	-	0	 0.091	 0.095
ACTA1	HGNC:129	-	0	 0.129	 0.149
ACTA2	HGNC:130	-	0	 0.120	 0.134
ACTB	HGNC:132	-	0	 0.150	 0.184
ACTBL2	HGNC:17780	-	0	 0.087	 0.099
ACTC1	HGNC:143	-	0	 0.117	 0.116
ACTG1	HGNC:144	-	0	 0.130	 0.163
ACTG2	HGNC:145	-	0	 0.112	 0.126
ACTL10	HGNC:16127	-	0	 0.084	 0.092
ACTL6A	HGNC:24124	-	0	 0.110	 0.148
ACTL6B	HGNC:160	-	0	 0.101	 0.117
ACTL7A	HGNC:161	-	0	 0.089	 0.097
ACTL7B	HGNC:162	-	0	 0.089	 0.098
ACTL8	HGNC:24018	-	0	 0.090	 0.103
ACTL9	HGNC:28494	-	1	 0.246	 1.268
ACTN1	HGNC:163	-	0	 0.173	 0.216
ACTN2	HGNC:164	-	0	 0.138	 0.146
ACTN3	HGNC:165	-	0	 0.106	 0.125
ACTN4	HGNC:166	-	0	 0.137	 0.176
ACTR10	HGNC:17372	-	0	 0.096	 0.126
ACTR1A	HGNC:167	-	0	 0.118	 0.164
ACTR1B	HGNC:168	-	0	 0.111	 0.142
ACTR2	HGNC:169	-	0	 0.115	 0.147
ACTR3	HGNC:170	-	0	 0.115	 0.145
ACTR3B	HGNC:17256	-	0	 0.095	 0.110
ACTR3C	HGNC:37282	-	0	 0.083	 0.091
ACTR5	HGNC:14671	-	0	 0.090	 0.105
ACTR6	HGNC:24025	-	0	 0.098	 0.138
ACTR8	HGNC:14672	-	0	 0.091	 0.102
ACTRT1	HGNC:24027	-	0	 0.087	 0.098
ACTRT2	HGNC:24026	-	0	 0.087	 0.094
ACTRT3	HGNC:24022	-	0	 0.086	 0.100
ACVR1	HGNC:171	-	0	 0.173	 0.320
ACVR1B	HGNC:172	-	0	 0.154	 0.281
ACVR1C	HGNC:18123	-	0	 0.109	 0.166
ACVR2A	HGNC:173	-	0	 0.168	 0.299
ACVR2B	HGNC:174	-	0	 0.129	 0.199
ACVRL1	HGNC:175	-	0	 0.141	 0.224
ACY1	HGNC:177	-	0	 0.105	 0.127
ACY3	HGNC:24104	-	0	 0.094	 0.107
ACYP1	HGNC:179	-	0	 0.104	 0.122
ACYP2	HGNC:180	-	0	 0.109	 0.139
ADA	HGNC:186	-	0	 0.130	 0.163
ADAD1	HGNC:30713	-	0	 0.088	 0.098
ADAD2	HGNC:30714	-	0	 0.084	 0.093
ADAL	HGNC:31853	-	0	 0.093	 0.104
ADAM10	HGNC:188	-	0	 0.140	 0.208
ADAM11	HGNC:189	-	0	 0.106	 0.130
ADAM12	HGNC:190	-	0	 0.125	 0.164
ADAM15	HGNC:193	-	0	 0.113	 0.152
ADAM17	HGNC:195	-	0	 0.139	 0.217
ADAM18	HGNC:196	-	0	 0.090	 0.097
ADAM19	HGNC:197	-	0	 0.143	 0.241
ADAM2	HGNC:198	-	0	 0.100	 0.120
ADAM20	HGNC:199	-	0	 0.093	 0.103
ADAM21	HGNC:200	-	0	 0.086	 0.090
ADAM22	HGNC:201	-	0	 0.101	 0.107
ADAM23	HGNC:202	-	0	 0.112	 0.131
ADAM28	HGNC:206	-	0	 0.114	 0.158
ADAM29	HGNC:207	-	1	 0.173	 0.243
ADAM30	HGNC:208	+ HC-P	0	 0.275	 0.106
ADAM32	HGNC:15479	-	0	 0.091	 0.097
ADAM33	HGNC:15478	-	0	 0.089	 0.100
ADAM7	HGNC:214	-	0	 0.089	 0.100
ADAM8	HGNC:215	-	0	 0.124	 0.172
ADAM9	HGNC:216	-	0	 0.131	 0.169
ADAMDEC1	HGNC:16299	-	0	 0.108	 0.137
ADAMTS1	HGNC:217	-	0	 0.116	 0.150
ADAMTS10	HGNC:13201	-	0	 0.094	 0.117
ADAMTS12	HGNC:14605	-	0	 0.095	 0.119
ADAMTS13	HGNC:1366	-	0	 0.102	 0.126
ADAMTS14	HGNC:14899	-	0	 0.091	 0.102
ADAMTS15	HGNC:16305	-	0	 0.092	 0.106
ADAMTS16	HGNC:17108	-	0	 0.087	 0.096
ADAMTS17	HGNC:17109	-	0	 0.090	 0.102
ADAMTS18	HGNC:17110	-	0	 0.093	 0.106
ADAMTS19	HGNC:17111	-	0	 0.093	 0.106
ADAMTS2	HGNC:218	-	0	 0.104	 0.112
ADAMTS20	HGNC:17178	-	0	 0.092	 0.105
ADAMTS3	HGNC:219	-	0	 0.105	 0.125
ADAMTS4	HGNC:220	-	0	 0.116	 0.154
ADAMTS5	HGNC:221	-	0	 0.126	 0.143
ADAMTS6	HGNC:222	-	0	 0.110	 0.149
ADAMTS7	HGNC:223	-	1	 0.159	 0.140
ADAMTS8	HGNC:224	-	0	 0.101	 0.117
ADAMTS9	HGNC:13202	-	1	 0.200	 0.165
ADAMTSL1	HGNC:14632	-	0	 0.097	 0.110
ADAMTSL2	HGNC:14631	-	0	 0.096	 0.109
ADAMTSL3	HGNC:14633	-	0	 0.100	 0.111
ADAMTSL4	HGNC:19706	-	0	 0.108	 0.129
ADAMTSL5	HGNC:27912	-	0	 0.091	 0.104
ADAP1	HGNC:16486	-	0	 0.109	 0.146
ADAP2	HGNC:16487	-	0	 0.111	 0.144
ADAR	HGNC:225	-	0	 0.137	 0.226
ADARB1	HGNC:226	-	0	 0.111	 0.129
ADARB2	HGNC:227	-	0	 0.098	 0.120
ADAT1	HGNC:228	-	0	 0.097	 0.119
ADAT2	HGNC:21172	-	0	 0.091	 0.107
ADAT3	HGNC:25151	-	0	 0.088	 0.102
ADC	HGNC:29957	-	0	 0.092	 0.102
ADCK1	HGNC:19038	-	0	 0.094	 0.116
ADCK2	HGNC:19039	-	0	 0.095	 0.111
ADCK3	HGNC:16812	-	0	 0.108	 0.143
ADCK4	HGNC:19041	-	0	 0.097	 0.116
ADCK5	HGNC:21738	-	0	 0.087	 0.099
ADCY1	HGNC:232	-	0	 0.131	 0.129
ADCY10	HGNC:21285	-	0	 0.101	 0.111
ADCY2	HGNC:233	-	0	 0.128	 0.139
ADCY3	HGNC:234	-	1	 0.245	 0.198
ADCY4	HGNC:235	-	0	 0.122	 0.126
ADCY5	HGNC:236	-	0	 0.112	 0.111
ADCY6	HGNC:237	-	0	 0.136	 0.148
ADCY7	HGNC:238	-	0	 0.167	 0.182
ADCY8	HGNC:239	-	0	 0.141	 0.128
ADCY9	HGNC:240	-	1	 0.244	 0.209
ADCYAP1	HGNC:241	-	0	 0.120	 0.147
ADCYAP1R1	HGNC:242	-	0	 0.110	 0.129
ADD1	HGNC:243	-	0	 0.122	 0.135
ADD2	HGNC:244	-	0	 0.099	 0.118
ADD3	HGNC:245	-	0	 0.140	 0.197
ADGB	HGNC:21212	-	0	 0.089	 0.106
ADH1A	HGNC:249	-	0	 0.106	 0.105
ADH1B	HGNC:250	-	2	 0.387	 0.258
ADH1C	HGNC:251	-	0	 0.108	 0.123
ADH4	HGNC:252	-	0	 0.107	 0.109
ADH5	HGNC:253	-	0	 0.104	 0.116
ADH6	HGNC:255	-	0	 0.100	 0.111
ADH7	HGNC:256	-	0	 0.098	 0.103
ADHFE1	HGNC:16354	-	0	 0.132	 0.115
ADI1	HGNC:30576	-	0	 0.106	 0.168
ADIG	HGNC:28606	-	0	 0.093	 0.103
ADIPOQ	HGNC:13633	-	0	 0.113	 0.121
ADIPOR1	HGNC:24040	-	0	 0.109	 0.170
ADIPOR2	HGNC:24041	-	0	 0.127	 0.202
ADIRF	HGNC:24043	-	0	 0.106	 0.121
ADK	HGNC:257	-	0	 0.115	 0.137
ADM	HGNC:259	-	0	 0.180	 0.240
ADM2	HGNC:28898	-	0	 0.092	 0.108
ADM5	HGNC:27293	-	0	 0.083	 0.089
ADNP	HGNC:15766	-	0	 0.109	 0.140
ADNP2	HGNC:23803	-	0	 0.102	 0.136
ADO	HGNC:23506	± HC-S	0	 0.103	 0.131
ADORA1	HGNC:262	-	0	 0.129	 0.176
ADORA2A	HGNC:263	-	0	 0.134	 0.178
ADORA2B	HGNC:264	-	0	 0.131	 0.166
ADORA3	HGNC:268	-	0	 0.122	 0.175
ADPGK	HGNC:25250	-	0	 0.098	 0.124
ADPRH	HGNC:269	-	0	 0.096	 0.115
ADPRHL1	HGNC:21303	-	0	 0.088	 0.100
ADPRHL2	HGNC:21304	-	0	 0.089	 0.102
ADPRM	HGNC:30925	-	0	 0.103	 0.120
ADRA1A	HGNC:277	-	0	 0.124	 0.159
ADRA1B	HGNC:278	± HC-S	0	 0.123	 0.150
ADRA1D	HGNC:280	-	0	 0.117	 0.141
ADRA2A	HGNC:281	-	0	 0.133	 0.158
ADRA2B	HGNC:282	-	0	 0.117	 0.146
ADRA2C	HGNC:283	-	0	 0.119	 0.137
ADRB1	HGNC:285	-	0	 0.133	 0.157
ADRB2	HGNC:286	-	0	 0.165	 0.235
ADRB3	HGNC:288	-	0	 0.125	 0.167
ADRBK1	HGNC:289	-	0	 0.130	 0.179
ADRBK2	HGNC:290	-	0	 0.114	 0.153
ADRM1	HGNC:15759	-	0	 0.113	 0.141
ADSL	HGNC:291	-	0	 0.110	 0.134
ADSS	HGNC:292	-	0	 0.108	 0.143
ADSSL1	HGNC:20093	-	0	 0.096	 0.109
ADTRP	HGNC:21214	-	0	 0.104	 0.125
AEBP1	HGNC:303	-	0	 0.124	 0.138
AEBP2	HGNC:24051	-	0	 0.103	 0.140
AEN	HGNC:25722	-	0	 0.103	 0.134
AES	HGNC:307	-	0	 0.107	 0.119
AFAP1	HGNC:24017	-	0	 0.103	 0.120
AFAP1L1	HGNC:26714	-	0	 0.086	 0.099
AFAP1L2	HGNC:25901	-	0	 0.110	 0.146
AFF1	HGNC:7135	-	1	 0.367	 0.774
AFF2	HGNC:3776	-	0	 0.100	 0.120
AFF3	HGNC:6473	-	1	 0.337	 1.172
AFF4	HGNC:17869	-	0	 0.122	 0.179
AFG3L2	HGNC:315	-	0	 0.099	 0.132
AFM	HGNC:316	-	1	 0.175	 0.227
AFMID	HGNC:20910	-	0	 0.088	 0.092
AFP	HGNC:317	-	0	 0.107	 0.133
AFTPH	HGNC:25951	-	0	 0.101	 0.137
AGA	HGNC:318	-	0	 0.102	 0.126
AGAP1	HGNC:16922	-	0	 0.110	 0.120
AGAP10	HGNC:23462	-	0	 0.082	 0.090
AGAP11	HGNC:29421	-	0	 0.083	 0.089
AGAP2	HGNC:16921	-	0	 0.110	 0.135
AGAP3	HGNC:16923	-	0	 0.095	 0.112
AGAP4	HGNC:23459	-	0	 0.088	 0.100
AGAP5	HGNC:23467	-	0	 0.082	 0.089
AGAP6	HGNC:23466	-	0	 0.083	 0.090
AGAP7	HGNC:23465	-	0	 0.083	 0.090
AGAP8	HGNC:23464	-	0	 0.082	 0.090
AGAP9	HGNC:23463	-	0	 0.082	 0.090
AGBL1	HGNC:26504	-	0	 0.084	 0.090
AGBL2	HGNC:26296	-	0	 0.091	 0.105
AGBL3	HGNC:27981	-	0	 0.088	 0.094
AGBL4	HGNC:25892	-	0	 0.086	 0.096
AGBL5	HGNC:26147	-	0	 0.097	 0.118
AGER	HGNC:320	-	0	 0.128	 0.181
AGFG1	HGNC:5175	-	0	 0.115	 0.161
AGFG2	HGNC:5177	-	0	 0.100	 0.129
AGGF1	HGNC:24684	-	0	 0.102	 0.123
AGK	HGNC:21869	-	0	 0.100	 0.110
AGL	HGNC:321	-	0	 0.109	 0.137
AGMAT	HGNC:18407	-	0	 0.095	 0.113
AGMO	HGNC:33784	-	0	 0.085	 0.090
AGO1	HGNC:3262	-	0	 0.119	 0.170
AGO2	HGNC:3263	-	0	 0.127	 0.187
AGO3	HGNC:18421	-	0	 0.098	 0.113
AGO4	HGNC:18424	-	0	 0.103	 0.125
AGPAT1	HGNC:324	-	0	 0.120	 0.156
AGPAT2	HGNC:325	-	0	 0.122	 0.151
AGPAT3	HGNC:326	-	0	 0.111	 0.131
AGPAT4	HGNC:20885	-	0	 0.118	 0.142
AGPAT5	HGNC:20886	-	0	 0.111	 0.148
AGPAT6	HGNC:20880	-	0	 0.113	 0.135
AGPAT9	HGNC:28157	-	0	 0.109	 0.129
AGPS	HGNC:327	-	0	 0.107	 0.158
AGR2	HGNC:328	-	0	 0.111	 0.135
AGR3	HGNC:24167	-	0	 0.096	 0.112
AGRN	HGNC:329	-	0	 0.134	 0.150
AGRP	HGNC:330	-	0	 0.110	 0.145
AGT	HGNC:333	-	0	 0.137	 0.191
AGTPBP1	HGNC:17258	-	0	 0.102	 0.121
AGTR1	HGNC:336	-	0	 0.127	 0.168
AGTR2	HGNC:338	-	0	 0.126	 0.173
AGTRAP	HGNC:13539	-	0	 0.096	 0.119
AGXT	HGNC:341	-	0	 0.111	 0.158
AGXT2	HGNC:14412	-	0	 0.099	 0.116
AHCTF1	HGNC:24618	-	0	 0.103	 0.127
AHCY	HGNC:343	-	0	 0.111	 0.155
AHCYL1	HGNC:344	-	0	 0.109	 0.195
AHCYL2	HGNC:22204	-	0	 0.108	 0.169
AHDC1	HGNC:25230	-	0	 0.098	 0.120
AHI1	HGNC:21575	-	1	 0.301	 1.303
AHNAK	HGNC:347	-	0	 0.127	 0.175
AHNAK2	HGNC:20125	-	0	 0.101	 0.118
AHR	HGNC:348	-	0	 0.162	 0.238
AHRR	HGNC:346	-	0	 0.094	 0.108
AHSA1	HGNC:1189	-	0	 0.105	 0.133
AHSA2	HGNC:20437	-	0	 0.095	 0.108
AHSG	HGNC:349	-	0	 0.111	 0.146
AHSP	HGNC:18075	-	0	 0.091	 0.102
AICDA	HGNC:13203	-	0	 0.107	 0.140
AIDA	HGNC:25761	-	0	 0.098	 0.122
AIF1	HGNC:352	± HC-S	0	 0.136	 0.187
AIF1L	HGNC:28904	-	0	 0.099	 0.112
AIFM1	HGNC:8768	-	0	 0.121	 0.146
AIFM2	HGNC:21411	-	0	 0.101	 0.132
AIFM3	HGNC:26398	-	0	 0.101	 0.130
AIG1	HGNC:21607	-	0	 0.100	 0.130
AIM1	HGNC:356	-	0	 0.122	 0.173
AIM1L	HGNC:17295	-	0	 0.097	 0.122
AIM2	HGNC:357	-	0	 0.136	 0.214
AIMP1	HGNC:10648	-	0	 0.115	 0.151
AIMP2	HGNC:20609	-	0	 0.112	 0.161
AIP	HGNC:358	-	0	 0.112	 0.139
AIPL1	HGNC:359	-	0	 0.097	 0.126
AIRE	HGNC:360	-	1	 0.344	 1.367
AJAP1	HGNC:30801	-	1	 0.167	 0.132
AJUBA	HGNC:20250	-	0	 0.107	 0.133
AK1	HGNC:361	-	0	 0.110	 0.126
AK2	HGNC:362	-	0	 0.116	 0.153
AK3	HGNC:17376	± HC-S	0	 0.108	 0.134
AK4	HGNC:363	-	0	 0.113	 0.130
AK5	HGNC:365	-	0	 0.116	 0.138
AK6	HGNC:49151	-	0	 0.082	 0.088
AK7	HGNC:20091	-	0	 0.093	 0.112
AK8	HGNC:26526	-	0	 0.090	 0.103
AK9	HGNC:33814	-	0	 0.090	 0.104
AKAP1	HGNC:367	-	0	 0.113	 0.150
AKAP10	HGNC:368	-	0	 0.106	 0.142
AKAP11	HGNC:369	-	0	 0.103	 0.125
AKAP12	HGNC:370	-	0	 0.140	 0.201
AKAP13	HGNC:371	-	0	 0.121	 0.164
AKAP14	HGNC:24061	-	0	 0.087	 0.096
AKAP17A	HGNC:18783	-	0	 0.095	 0.115
AKAP2	HGNC:372	-	0	 0.110	 0.137
AKAP3	HGNC:373	-	0	 0.097	 0.115
AKAP4	HGNC:374	-	0	 0.098	 0.111
AKAP5	HGNC:375	-	0	 0.108	 0.114
AKAP6	HGNC:376	-	0	 0.107	 0.126
AKAP7	HGNC:377	-	0	 0.108	 0.141
AKAP8	HGNC:378	-	0	 0.103	 0.122
AKAP8L	HGNC:29857	-	0	 0.101	 0.120
AKAP9	HGNC:379	-	0	 0.126	 0.152
AKIP1	HGNC:1170	-	0	 0.095	 0.122
AKIRIN1	HGNC:25744	-	0	 0.106	 0.136
AKIRIN2	HGNC:21407	-	0	 0.108	 0.145
AKNA	HGNC:24108	-	0	 0.102	 0.123
AKNAD1	HGNC:28398	-	0	 0.087	 0.100
AKR1A1	HGNC:380	-	0	 0.114	 0.133
AKR1B1	HGNC:381	-	0	 0.126	 0.144
AKR1B10	HGNC:382	-	0	 0.101	 0.122
AKR1B15	HGNC:37281	-	0	 0.092	 0.114
AKR1C1	HGNC:384	-	0	 0.120	 0.159
AKR1C2	HGNC:385	-	0	 0.104	 0.138
AKR1C3	HGNC:386	-	0	 0.121	 0.160
AKR1C4	HGNC:387	-	0	 0.098	 0.115
AKR1CL1	HGNC:23469	-	0	 0.082	 0.089
AKR1D1	HGNC:388	-	0	 0.103	 0.132
AKR1E2	HGNC:23437	-	0	 0.094	 0.109
AKR7A2	HGNC:389	-	0	 0.104	 0.127
AKR7A3	HGNC:390	-	0	 0.094	 0.111
AKR7L	HGNC:24056	-	0	 0.083	 0.091
AKT1	HGNC:391	-	0	 0.233	 0.349
AKT1S1	HGNC:28426	-	0	 0.114	 0.157
