gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	 0.092
A1CF	HGNC:24086	-	0	 0.097	 0.117
A2M	HGNC:7	-	0	 0.176	 0.162
A2ML1	HGNC:23336	-	0	 0.084	 0.087
A3GALT2	HGNC:30005	-	0	 0.082	 0.085
A4GALT	HGNC:18149	-	0	 0.096	 0.103
A4GNT	HGNC:17968	-	0	 0.097	 0.111
AAAS	HGNC:13666	-	0	 0.109	 0.130
AACS	HGNC:21298	-	0	 0.092	 0.107
AADAC	HGNC:17	-	0	 0.104	 0.128
AADACL2	HGNC:24427	-	0	 0.084	 0.086
AADACL3	HGNC:32037	-	0	 0.082	 0.085
AADACL4	HGNC:32038	-	0	 0.083	 0.085
AADAT	HGNC:17929	-	0	 0.092	 0.101
AAED1	HGNC:16881	-	0	 0.091	 0.100
AAGAB	HGNC:25662	-	0	 0.095	 0.113
AAK1	HGNC:19679	-	0	 0.109	 0.147
AAMDC	HGNC:30205	-	0	 0.096	 0.113
AAMP	HGNC:18	-	0	 0.103	 0.117
AANAT	HGNC:19	-	0	 0.096	 0.111
AAR2	HGNC:15886	-	0	 0.095	 0.105
AARD	HGNC:33842	-	0	 0.088	 0.106
AARS	HGNC:20	-	0	 0.112	 0.154
AARS2	HGNC:21022	-	0	 0.092	 0.103
AARSD1	HGNC:28417	-	0	 0.096	 0.113
AASDH	HGNC:23993	-	0	 0.088	 0.105
AASDHPPT	HGNC:14235	-	0	 0.100	 0.124
AASS	HGNC:17366	-	0	 0.107	 0.129
AATF	HGNC:19235	-	0	 0.118	 0.140
AATK	HGNC:21	-	0	 0.101	 0.108
ABAT	HGNC:23	-	0	 0.128	 0.186
ABCA1	HGNC:29	-	1	 0.568	 3.164
ABCA10	HGNC:30	-	0	 0.091	 0.089
ABCA12	HGNC:14637	-	0	 0.107	 0.121
ABCA13	HGNC:14638	-	0	 0.093	 0.091
ABCA2	HGNC:32	-	0	 0.127	 0.169
ABCA3	HGNC:33	-	0	 0.155	 0.149
ABCA4	HGNC:34	-	0	 0.105	 0.124
ABCA5	HGNC:35	-	0	 0.102	 0.109
ABCA6	HGNC:36	-	0	 0.106	 0.116
ABCA7	HGNC:37	-	1	 0.246	 0.158
ABCA8	HGNC:38	-	0	 0.109	 0.121
ABCA9	HGNC:39	-	0	 0.097	 0.104
ABCB1	HGNC:40	-	0	 0.141	 0.198
ABCB10	HGNC:41	-	0	 0.105	 0.148
ABCB11	HGNC:42	-	0	 0.111	 0.165
ABCB4	HGNC:45	-	0	 0.125	 0.203
ABCB5	HGNC:46	-	0	 0.095	 0.098
ABCB6	HGNC:47	-	0	 0.119	 0.138
ABCB7	HGNC:48	-	0	 0.110	 0.134
ABCB8	HGNC:49	-	0	 0.103	 0.114
ABCB9	HGNC:50	-	0	 0.119	 0.150
ABCC1	HGNC:51	-	0	 0.125	 0.157
ABCC10	HGNC:52	-	0	 0.101	 0.113
ABCC11	HGNC:14639	-	0	 0.094	 0.095
ABCC12	HGNC:14640	-	0	 0.090	 0.096
ABCC2	HGNC:53	-	0	 0.110	 0.119
ABCC3	HGNC:54	-	0	 0.134	 0.253
ABCC4	HGNC:55	-	0	 0.117	 0.159
ABCC5	HGNC:56	-	0	 0.145	 0.193
ABCC6	HGNC:57	-	0	 0.109	 0.145
ABCC8	HGNC:59	-	0	 0.136	 0.634
ABCC9	HGNC:60	-	0	 0.115	 0.411
ABCD1	HGNC:61	-	0	 0.118	 0.132
ABCD2	HGNC:66	-	0	 0.115	 0.137
ABCD3	HGNC:67	-	0	 0.119	 0.145
ABCD4	HGNC:68	-	0	 0.104	 0.119
ABCE1	HGNC:69	-	0	 0.119	 0.160
ABCF1	HGNC:70	-	0	 0.108	 0.147
ABCF2	HGNC:71	-	0	 0.102	 0.136
ABCF3	HGNC:72	-	0	 0.094	 0.118
ABCG1	HGNC:73	-	0	 0.177	 0.171
ABCG2	HGNC:74	-	1	 0.427	 0.331
ABCG4	HGNC:13884	-	0	 0.105	 0.110
ABCG5	HGNC:13886	-	0	 0.107	 0.105
ABCG8	HGNC:13887	-	0	 0.105	 0.108
ABHD1	HGNC:17553	-	0	 0.090	 0.093
ABHD10	HGNC:25656	-	0	 0.098	 0.115
ABHD11	HGNC:16407	-	0	 0.096	 0.111
ABHD12	HGNC:15868	-	0	 0.093	 0.104
ABHD12B	HGNC:19837	-	0	 0.084	 0.086
ABHD13	HGNC:20293	-	0	 0.092	 0.107
ABHD14A	HGNC:24538	-	0	 0.103	 0.119
ABHD14B	HGNC:28235	-	0	 0.098	 0.122
ABHD15	HGNC:26971	-	0	 0.094	 0.109
ABHD16A	HGNC:13921	-	0	 0.102	 0.110
ABHD16B	HGNC:16128	-	0	 0.084	 0.089
ABHD17A	HGNC:28756	-	0	 0.096	 0.111
ABHD17B	HGNC:24278	-	0	 0.095	 0.111
ABHD17C	HGNC:26925	-	0	 0.097	 0.106
ABHD2	HGNC:18717	-	0	 0.109	 0.155
ABHD3	HGNC:18718	-	0	 0.105	 0.129
ABHD4	HGNC:20154	-	0	 0.100	 0.125
ABHD5	HGNC:21396	-	0	 0.110	 0.127
ABHD6	HGNC:21398	-	0	 0.103	 0.119
ABHD8	HGNC:23759	-	0	 0.102	 0.117
ABI1	HGNC:11320	-	0	 0.120	 0.162
ABI2	HGNC:24011	-	0	 0.117	 0.147
ABI3	HGNC:29859	-	0	 0.107	 0.110
ABI3BP	HGNC:17265	-	0	 0.105	 0.146
ABL1	HGNC:76	-	0	 0.169	 0.244
ABL2	HGNC:77	-	0	 0.125	 0.149
ABLIM1	HGNC:78	-	0	 0.150	 0.254
ABLIM2	HGNC:19195	-	0	 0.094	 0.112
ABLIM3	HGNC:29132	-	0	 0.113	 0.162
ABO	HGNC:79	-	3	 0.598	 0.499
ABR	HGNC:81	-	0	 0.120	 0.157
ABRA	HGNC:30655	-	0	 0.094	 0.122
ABRACL	HGNC:21230	-	0	 0.097	 0.109
ABT1	HGNC:17369	-	0	 0.101	 0.125
ABTB1	HGNC:18275	-	0	 0.101	 0.125
ABTB2	HGNC:23842	-	0	 0.115	 0.148
ACAA1	HGNC:82	-	0	 0.115	 0.155
ACAA2	HGNC:83	-	0	 0.115	 0.137
ACACA	HGNC:84	-	0	 0.126	 0.215
ACACB	HGNC:85	-	0	 0.109	 0.158
ACAD10	HGNC:21597	-	0	 0.089	 0.100
ACAD11	HGNC:30211	-	0	 0.088	 0.103
ACAD8	HGNC:87	-	0	 0.105	 0.109
