gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
ACAD9	HGNC:21497	-	0	 0.093	 0.105
ACADL	HGNC:88	-	0	 0.109	 0.128
ACADM	HGNC:89	-	0	 0.123	 0.167
ACADS	HGNC:90	-	0	 0.112	 0.133
ACADSB	HGNC:91	-	0	 0.116	 0.143
ACADVL	HGNC:92	-	0	 0.118	 0.164
ACAN	HGNC:319	-	0	 0.110	 0.140
ACAP1	HGNC:16467	-	0	 0.119	 0.159
ACAP2	HGNC:16469	-	0	 0.109	 0.145
ACAP3	HGNC:16754	-	0	 0.095	 0.113
ACAT1	HGNC:93	-	0	 0.116	 0.139
ACAT2	HGNC:94	-	0	 0.111	 0.153
ACBD3	HGNC:15453	-	0	 0.105	 0.144
ACBD4	HGNC:23337	-	0	 0.092	 0.104
ACBD5	HGNC:23338	-	0	 0.094	 0.124
ACBD6	HGNC:23339	-	0	 0.098	 0.111
ACBD7	HGNC:17715	-	0	 0.084	 0.093
ACCS	HGNC:23989	-	0	 0.090	 0.099
ACCSL	HGNC:34391	-	0	 0.086	 0.090
ACD	HGNC:25070	-	0	 0.110	 0.137
ACE	HGNC:2707	-	0	 0.116	 0.152
ACE2	HGNC:13557	-	0	 0.104	 0.132
ACER1	HGNC:18356	-	0	 0.090	 0.096
ACER2	HGNC:23675	-	0	 0.095	 0.106
ACER3	HGNC:16066	-	0	 0.098	 0.113
ACHE	HGNC:108	± LC-P	0	 0.118	 0.143
ACIN1	HGNC:17066	-	0	 0.123	 0.135
ACKR2	HGNC:1565	-	0	 0.123	 0.114
ACKR3	HGNC:23692	-	0	 0.129	 0.175
ACKR4	HGNC:1611	-	0	 0.115	 0.120
ACLY	HGNC:115	-	0	 0.116	 0.167
ACMSD	HGNC:19288	-	0	 0.086	 0.093
ACN9	HGNC:21752	-	0	 0.093	 0.119
ACO1	HGNC:117	-	0	 0.111	 0.142
ACO2	HGNC:118	-	0	 0.116	 0.135
ACOT1	HGNC:33128	-	0	 0.094	 0.101
ACOT11	HGNC:18156	-	0	 0.098	 0.118
ACOT12	HGNC:24436	-	0	 0.089	 0.103
ACOT13	HGNC:20999	-	0	 0.099	 0.143
ACOT2	HGNC:18431	-	0	 0.097	 0.107
ACOT4	HGNC:19748	-	0	 0.092	 0.103
ACOT6	HGNC:33159	-	0	 0.089	 0.098
ACOT7	HGNC:24157	-	0	 0.116	 0.166
ACOT8	HGNC:15919	-	0	 0.104	 0.125
ACOT9	HGNC:17152	-	0	 0.107	 0.134
ACOX1	HGNC:119	-	0	 0.127	 0.144
ACOX2	HGNC:120	-	0	 0.110	 0.158
ACOX3	HGNC:121	-	0	 0.103	 0.129
ACOXL	HGNC:25621	-	1	 0.201	 0.227
ACP1	HGNC:122	-	0	 0.112	 0.128
ACP2	HGNC:123	-	0	 0.115	 0.140
ACP5	HGNC:124	-	0	 0.129	 0.169
ACP6	HGNC:29609	-	0	 0.099	 0.110
ACPL2	HGNC:26303	-	0	 0.098	 0.108
ACPP	HGNC:125	-	0	 0.108	 0.115
ACPT	HGNC:14376	-	0	 0.089	 0.102
ACR	HGNC:126	-	0	 0.105	 0.131
ACRBP	HGNC:17195	-	0	 0.090	 0.102
ACRC	HGNC:15805	-	0	 0.090	 0.098
ACRV1	HGNC:127	-	0	 0.098	 0.115
ACSBG1	HGNC:29567	-	0	 0.102	 0.122
ACSBG2	HGNC:24174	-	0	 0.088	 0.097
ACSF2	HGNC:26101	-	0	 0.097	 0.120
ACSF3	HGNC:27288	-	0	 0.087	 0.101
ACSL1	HGNC:3569	-	0	 0.153	 0.218
ACSL3	HGNC:3570	-	0	 0.125	 0.171
ACSL4	HGNC:3571	-	0	 0.123	 0.174
ACSL5	HGNC:16526	-	0	 0.119	 0.177
ACSL6	HGNC:16496	-	0	 0.106	 0.138
ACSM1	HGNC:18049	-	0	 0.088	 0.095
ACSM2A	HGNC:32017	-	0	 0.087	 0.090
ACSM2B	HGNC:30931	-	0	 0.084	 0.088
ACSM3	HGNC:10522	-	0	 0.097	 0.123
ACSM4	HGNC:32016	-	0	 0.082	 0.085
ACSM5	HGNC:26060	-	0	 0.092	 0.092
ACSS1	HGNC:16091	-	0	 0.105	 0.122
ACSS2	HGNC:15814	-	0	 0.103	 0.121
ACSS3	HGNC:24723	-	0	 0.091	 0.101
ACTA1	HGNC:129	-	0	 0.129	 0.194
ACTA2	HGNC:130	-	0	 0.120	 0.145
ACTB	HGNC:132	-	0	 0.150	 0.239
ACTBL2	HGNC:17780	-	0	 0.087	 0.092
ACTC1	HGNC:143	-	0	 0.117	 0.207
ACTG1	HGNC:144	-	0	 0.130	 0.151
ACTG2	HGNC:145	-	0	 0.112	 0.136
ACTL10	HGNC:16127	-	0	 0.084	 0.090
ACTL6A	HGNC:24124	-	0	 0.110	 0.138
ACTL6B	HGNC:160	-	0	 0.101	 0.119
ACTL7A	HGNC:161	-	0	 0.089	 0.104
ACTL7B	HGNC:162	-	0	 0.089	 0.101
ACTL8	HGNC:24018	-	0	 0.090	 0.102
ACTL9	HGNC:28494	-	1	 0.246	 0.200
ACTN1	HGNC:163	-	0	 0.173	 0.231
ACTN2	HGNC:164	-	0	 0.138	 0.154
ACTN3	HGNC:165	-	0	 0.106	 0.127
ACTN4	HGNC:166	-	0	 0.137	 0.187
ACTR10	HGNC:17372	-	0	 0.096	 0.109
ACTR1A	HGNC:167	-	0	 0.118	 0.165
ACTR1B	HGNC:168	-	0	 0.111	 0.131
ACTR2	HGNC:169	-	0	 0.115	 0.149
ACTR3	HGNC:170	-	0	 0.115	 0.158
ACTR3B	HGNC:17256	-	0	 0.095	 0.104
ACTR3C	HGNC:37282	-	0	 0.083	 0.088
ACTR5	HGNC:14671	-	0	 0.090	 0.102
ACTR6	HGNC:24025	-	0	 0.098	 0.121
ACTR8	HGNC:14672	-	0	 0.091	 0.095
ACTRT1	HGNC:24027	-	0	 0.087	 0.091
ACTRT2	HGNC:24026	-	0	 0.087	 0.095
ACTRT3	HGNC:24022	-	0	 0.086	 0.090
ACVR1	HGNC:171	-	0	 0.173	 0.246
ACVR1B	HGNC:172	-	0	 0.154	 0.239
ACVR1C	HGNC:18123	-	0	 0.109	 0.130
ACVR2A	HGNC:173	-	0	 0.168	 0.272
ACVR2B	HGNC:174	-	0	 0.129	 0.160
ACVRL1	HGNC:175	-	0	 0.141	 0.175
ACY1	HGNC:177	-	0	 0.105	 0.141
ACY3	HGNC:24104	-	0	 0.094	 0.105
ACYP1	HGNC:179	-	0	 0.104	 0.133
ACYP2	HGNC:180	-	0	 0.109	 0.130
ADA	HGNC:186	-	0	 0.130	 0.140
ADAD1	HGNC:30713	-	0	 0.088	 0.097
ADAD2	HGNC:30714	-	0	 0.084	 0.086
ADAL	HGNC:31853	-	0	 0.093	 0.099
ADAM10	HGNC:188	-	0	 0.140	 0.191
ADAM11	HGNC:189	-	0	 0.106	 0.133
ADAM12	HGNC:190	-	0	 0.125	 0.152
ADAM15	HGNC:193	-	0	 0.113	 0.137
ADAM17	HGNC:195	-	0	 0.139	 0.178
ADAM18	HGNC:196	-	0	 0.090	 0.097
ADAM19	HGNC:197	-	0	 0.143	 0.167
ADAM2	HGNC:198	-	0	 0.100	 0.108
ADAM20	HGNC:199	-	0	 0.093	 0.096
ADAM21	HGNC:200	-	0	 0.086	 0.089
ADAM22	HGNC:201	-	0	 0.101	 0.138
ADAM23	HGNC:202	-	0	 0.112	 0.147
ADAM28	HGNC:206	-	0	 0.114	 0.131
ADAM29	HGNC:207	-	1	 0.173	 0.206
ADAM30	HGNC:208	± HC-S	1	 0.275	 0.231
ADAM32	HGNC:15479	-	0	 0.091	 0.101
ADAM33	HGNC:15478	-	0	 0.089	 0.097
ADAM7	HGNC:214	-	0	 0.089	 0.101
ADAM8	HGNC:215	-	0	 0.124	 0.131
ADAM9	HGNC:216	-	0	 0.131	 0.197
ADAMDEC1	HGNC:16299	-	0	 0.108	 0.116
ADAMTS1	HGNC:217	-	0	 0.116	 0.140
ADAMTS10	HGNC:13201	-	0	 0.094	 0.112
ADAMTS12	HGNC:14605	-	0	 0.095	 0.111
ADAMTS13	HGNC:1366	-	0	 0.102	 0.128
ADAMTS14	HGNC:14899	-	0	 0.091	 0.096
ADAMTS15	HGNC:16305	-	0	 0.092	 0.109
ADAMTS16	HGNC:17108	-	0	 0.087	 0.093
ADAMTS17	HGNC:17109	-	0	 0.090	 0.106
ADAMTS18	HGNC:17110	-	0	 0.093	 0.103
ADAMTS19	HGNC:17111	-	0	 0.093	 0.105
ADAMTS2	HGNC:218	-	0	 0.104	 0.115
ADAMTS20	HGNC:17178	-	0	 0.092	 0.101
ADAMTS3	HGNC:219	-	0	 0.105	 0.123
ADAMTS4	HGNC:220	-	0	 0.116	 0.140
ADAMTS5	HGNC:221	-	0	 0.126	 0.180
ADAMTS6	HGNC:222	-	0	 0.110	 0.132
ADAMTS7	HGNC:223	-	1	 0.159	 0.174
ADAMTS8	HGNC:224	-	0	 0.101	 0.119
ADAMTS9	HGNC:13202	± HC-S	1	 0.200	 0.176
ADAMTSL1	HGNC:14632	-	0	 0.097	 0.133
ADAMTSL2	HGNC:14631	-	0	 0.096	 0.112
ADAMTSL3	HGNC:14633	-	0	 0.100	 0.122
ADAMTSL4	HGNC:19706	-	0	 0.108	 0.152
ADAMTSL5	HGNC:27912	-	0	 0.091	 0.103
ADAP1	HGNC:16486	-	0	 0.109	 0.141
ADAP2	HGNC:16487	-	0	 0.111	 0.147
ADAR	HGNC:225	-	0	 0.137	 0.169
ADARB1	HGNC:226	-	0	 0.111	 0.127
ADARB2	HGNC:227	-	0	 0.098	 0.112
ADAT1	HGNC:228	-	0	 0.097	 0.117
ADAT2	HGNC:21172	-	0	 0.091	 0.103
ADAT3	HGNC:25151	-	0	 0.088	 0.101
ADC	HGNC:29957	-	0	 0.092	 0.095
ADCK1	HGNC:19038	-	0	 0.094	 0.103
ADCK2	HGNC:19039	-	0	 0.095	 0.114
ADCK3	HGNC:16812	-	0	 0.108	 0.135
ADCK4	HGNC:19041	-	0	 0.097	 0.110
ADCK5	HGNC:21738	-	0	 0.087	 0.098
ADCY1	HGNC:232	-	0	 0.131	 0.151
ADCY10	HGNC:21285	-	0	 0.101	 0.116
ADCY2	HGNC:233	-	0	 0.128	 0.144
ADCY3	HGNC:234	-	1	 0.245	 0.803
ADCY4	HGNC:235	-	0	 0.122	 0.142
ADCY5	HGNC:236	± HC-S	0	 0.112	 0.120
ADCY6	HGNC:237	-	0	 0.136	 0.157
ADCY7	HGNC:238	-	0	 0.167	 0.195
ADCY8	HGNC:239	-	0	 0.141	 0.150
ADCY9	HGNC:240	-	1	 0.244	 0.833
ADCYAP1	HGNC:241	-	0	 0.120	 0.169
ADCYAP1R1	HGNC:242	-	0	 0.110	 0.138
ADD1	HGNC:243	-	0	 0.122	 0.162
ADD2	HGNC:244	-	0	 0.099	 0.118
ADD3	HGNC:245	-	0	 0.140	 0.218
ADGB	HGNC:21212	-	0	 0.089	 0.095
ADH1A	HGNC:249	-	0	 0.106	 0.117
ADH1B	HGNC:250	-	2	 0.387	 0.902
ADH1C	HGNC:251	-	0	 0.108	 0.123
ADH4	HGNC:252	-	0	 0.107	 0.120
ADH5	HGNC:253	-	0	 0.104	 0.132
ADH6	HGNC:255	-	0	 0.100	 0.114
ADH7	HGNC:256	-	0	 0.098	 0.104
ADHFE1	HGNC:16354	-	0	 0.132	 0.112
ADI1	HGNC:30576	-	0	 0.106	 0.130
ADIG	HGNC:28606	-	0	 0.093	 0.105
ADIPOQ	HGNC:13633	-	0	 0.113	 0.245
ADIPOR1	HGNC:24040	-	0	 0.109	 0.140
ADIPOR2	HGNC:24041	-	0	 0.127	 0.181
ADIRF	HGNC:24043	-	0	 0.106	 0.125
ADK	HGNC:257	-	0	 0.115	 0.147
ADM	HGNC:259	-	0	 0.180	 0.212
ADM2	HGNC:28898	-	0	 0.092	 0.101
ADM5	HGNC:27293	-	0	 0.083	 0.086
ADNP	HGNC:15766	-	0	 0.109	 0.147
ADNP2	HGNC:23803	-	0	 0.102	 0.120
ADO	HGNC:23506	-	0	 0.103	 0.135
ADORA1	HGNC:262	-	0	 0.129	 0.156
ADORA2A	HGNC:263	-	0	 0.134	 0.149
ADORA2B	HGNC:264	-	0	 0.131	 0.190
ADORA3	HGNC:268	-	0	 0.122	 0.147
ADPGK	HGNC:25250	-	0	 0.098	 0.111
ADPRH	HGNC:269	-	0	 0.096	 0.100
ADPRHL1	HGNC:21303	-	0	 0.088	 0.106
ADPRHL2	HGNC:21304	-	0	 0.089	 0.096
ADPRM	HGNC:30925	-	0	 0.103	 0.120
ADRA1A	HGNC:277	-	0	 0.124	 0.152
ADRA1B	HGNC:278	-	0	 0.123	 0.166
ADRA1D	HGNC:280	-	0	 0.117	 0.155
ADRA2A	HGNC:281	-	0	 0.133	 0.200
ADRA2B	HGNC:282	-	0	 0.117	 0.152
ADRA2C	HGNC:283	-	0	 0.119	 0.151
ADRB1	HGNC:285	-	0	 0.133	 0.176
ADRB2	HGNC:286	-	0	 0.165	 0.235
ADRB3	HGNC:288	-	0	 0.125	 0.193
ADRBK1	HGNC:289	-	0	 0.130	 0.192
ADRBK2	HGNC:290	-	0	 0.114	 0.138
ADRM1	HGNC:15759	-	0	 0.113	 0.137
ADSL	HGNC:291	-	0	 0.110	 0.131
ADSS	HGNC:292	-	0	 0.108	 0.127
ADSSL1	HGNC:20093	-	0	 0.096	 0.103
ADTRP	HGNC:21214	-	0	 0.104	 0.124
AEBP1	HGNC:303	-	0	 0.124	 0.165
AEBP2	HGNC:24051	-	0	 0.103	 0.127
AEN	HGNC:25722	-	0	 0.103	 0.114
AES	HGNC:307	-	0	 0.107	 0.161
AFAP1	HGNC:24017	-	0	 0.103	 0.128
AFAP1L1	HGNC:26714	-	0	 0.086	 0.094
AFAP1L2	HGNC:25901	-	0	 0.110	 0.157
AFF1	HGNC:7135	-	1	 0.367	 0.310
AFF2	HGNC:3776	-	0	 0.100	 0.123
AFF3	HGNC:6473	-	1	 0.337	 0.282
AFF4	HGNC:17869	-	0	 0.122	 0.218
AFG3L2	HGNC:315	-	0	 0.099	 0.112
AFM	HGNC:316	-	1	 0.175	 0.181
AFMID	HGNC:20910	-	0	 0.088	 0.088
AFP	HGNC:317	-	0	 0.107	 0.130
AFTPH	HGNC:25951	-	0	 0.101	 0.111
AGA	HGNC:318	-	0	 0.102	 0.137
AGAP1	HGNC:16922	-	0	 0.110	 0.157
AGAP10	HGNC:23462	-	0	 0.082	 0.085
AGAP11	HGNC:29421	-	0	 0.083	 0.086
AGAP2	HGNC:16921	-	0	 0.110	 0.134
AGAP3	HGNC:16923	-	0	 0.095	 0.114
AGAP4	HGNC:23459	-	0	 0.088	 0.099
AGAP5	HGNC:23467	-	0	 0.082	 0.085
AGAP6	HGNC:23466	-	0	 0.083	 0.087
AGAP7	HGNC:23465	-	0	 0.083	 0.087
AGAP8	HGNC:23464	-	0	 0.082	 0.085
AGAP9	HGNC:23463	-	0	 0.082	 0.085
AGBL1	HGNC:26504	-	0	 0.084	 0.086
AGBL2	HGNC:26296	-	0	 0.091	 0.096
AGBL3	HGNC:27981	-	0	 0.088	 0.102
AGBL4	HGNC:25892	-	0	 0.086	 0.096
AGBL5	HGNC:26147	-	0	 0.097	 0.119
AGER	HGNC:320	-	0	 0.128	 0.150
AGFG1	HGNC:5175	-	0	 0.115	 0.156
AGFG2	HGNC:5177	-	0	 0.100	 0.123
AGGF1	HGNC:24684	-	0	 0.102	 0.142
AGK	HGNC:21869	-	0	 0.100	 0.115
AGL	HGNC:321	-	0	 0.109	 0.151
AGMAT	HGNC:18407	-	0	 0.095	 0.102
AGMO	HGNC:33784	-	0	 0.085	 0.088
AGO1	HGNC:3262	-	0	 0.119	 0.159
AGO2	HGNC:3263	-	0	 0.127	 0.157
AGO3	HGNC:18421	-	0	 0.098	 0.106
AGO4	HGNC:18424	-	0	 0.103	 0.112
AGPAT1	HGNC:324	-	0	 0.120	 0.143
AGPAT2	HGNC:325	-	0	 0.122	 0.122
AGPAT3	HGNC:326	-	0	 0.111	 0.123
AGPAT4	HGNC:20885	-	0	 0.118	 0.136
AGPAT5	HGNC:20886	-	0	 0.111	 0.144
AGPAT6	HGNC:20880	-	0	 0.113	 0.122
AGPAT9	HGNC:28157	-	0	 0.109	 0.117
AGPS	HGNC:327	-	0	 0.107	 0.126
AGR2	HGNC:328	-	0	 0.111	 0.153
AGR3	HGNC:24167	-	0	 0.096	 0.109
AGRN	HGNC:329	-	0	 0.134	 0.180
AGRP	HGNC:330	-	0	 0.110	 0.118
AGT	HGNC:333	-	0	 0.137	 0.220
AGTPBP1	HGNC:17258	-	0	 0.102	 0.126
AGTR1	HGNC:336	-	0	 0.127	 0.175
AGTR2	HGNC:338	-	0	 0.126	 0.145
AGTRAP	HGNC:13539	-	0	 0.096	 0.114
AGXT	HGNC:341	-	0	 0.111	 0.166
AGXT2	HGNC:14412	-	0	 0.099	 0.128
AHCTF1	HGNC:24618	-	0	 0.103	 0.130
AHCY	HGNC:343	-	0	 0.111	 0.138
AHCYL1	HGNC:344	-	0	 0.109	 0.135
AHCYL2	HGNC:22204	-	0	 0.108	 0.131
AHDC1	HGNC:25230	-	0	 0.098	 0.112
AHI1	HGNC:21575	-	1	 0.301	 0.322
AHNAK	HGNC:347	-	0	 0.127	 0.158
AHNAK2	HGNC:20125	-	0	 0.101	 0.114
AHR	HGNC:348	-	0	 0.162	 0.247
AHRR	HGNC:346	-	0	 0.094	 0.098
AHSA1	HGNC:1189	-	0	 0.105	 0.123
AHSA2	HGNC:20437	-	0	 0.095	 0.104
AHSG	HGNC:349	-	0	 0.111	 0.132
AHSP	HGNC:18075	-	0	 0.091	 0.101
AICDA	HGNC:13203	-	0	 0.107	 0.115
AIDA	HGNC:25761	-	0	 0.098	 0.109
AIF1	HGNC:352	-	0	 0.136	 0.160
AIF1L	HGNC:28904	-	0	 0.099	 0.110
AIFM1	HGNC:8768	-	0	 0.121	 0.135
AIFM2	HGNC:21411	-	0	 0.101	 0.119
AIFM3	HGNC:26398	-	0	 0.101	 0.119
AIG1	HGNC:21607	-	0	 0.100	 0.107
AIM1	HGNC:356	-	0	 0.122	 0.156
AIM1L	HGNC:17295	-	0	 0.097	 0.113
AIM2	HGNC:357	-	0	 0.136	 0.128
AIMP1	HGNC:10648	-	0	 0.115	 0.153
AIMP2	HGNC:20609	-	0	 0.112	 0.150
AIP	HGNC:358	-	0	 0.112	 0.129
AIPL1	HGNC:359	-	0	 0.097	 0.104
AIRE	HGNC:360	-	1	 0.344	 0.248
AJAP1	HGNC:30801	-	1	 0.167	 0.143
AJUBA	HGNC:20250	-	0	 0.107	 0.134
AK1	HGNC:361	-	0	 0.110	 0.125
AK2	HGNC:362	-	0	 0.116	 0.163
AK3	HGNC:17376	-	0	 0.108	 0.139
AK4	HGNC:363	-	0	 0.113	 0.145
AK5	HGNC:365	-	0	 0.116	 0.137
AK6	HGNC:49151	-	0	 0.082	 0.085
AK7	HGNC:20091	-	0	 0.093	 0.104
AK8	HGNC:26526	-	0	 0.090	 0.093
AK9	HGNC:33814	-	0	 0.090	 0.099
AKAP1	HGNC:367	-	0	 0.113	 0.136
AKAP10	HGNC:368	-	0	 0.106	 0.130
AKAP11	HGNC:369	-	0	 0.103	 0.122
AKAP12	HGNC:370	-	0	 0.140	 0.212
AKAP13	HGNC:371	-	0	 0.121	 0.160
AKAP14	HGNC:24061	-	0	 0.087	 0.098
AKAP17A	HGNC:18783	-	0	 0.095	 0.104
AKAP2	HGNC:372	± LC-S	0	 0.110	 0.148
AKAP3	HGNC:373	-	0	 0.097	 0.115
AKAP4	HGNC:374	-	0	 0.098	 0.117
AKAP5	HGNC:375	-	0	 0.108	 0.141
AKAP6	HGNC:376	-	0	 0.107	 0.120
AKAP7	HGNC:377	-	0	 0.108	 0.137
AKAP8	HGNC:378	-	0	 0.103	 0.124
AKAP8L	HGNC:29857	-	0	 0.101	 0.118
AKAP9	HGNC:379	-	0	 0.126	 0.265
AKIP1	HGNC:1170	-	0	 0.095	 0.107
AKIRIN1	HGNC:25744	-	0	 0.106	 0.128
AKIRIN2	HGNC:21407	-	0	 0.108	 0.145
AKNA	HGNC:24108	-	0	 0.102	 0.118
AKNAD1	HGNC:28398	-	0	 0.087	 0.093
AKR1A1	HGNC:380	-	0	 0.114	 0.146
AKR1B1	HGNC:381	-	0	 0.126	 0.155
AKR1B10	HGNC:382	-	0	 0.101	 0.111
AKR1B15	HGNC:37281	-	0	 0.092	 0.105
AKR1C1	HGNC:384	-	0	 0.120	 0.144
AKR1C2	HGNC:385	-	0	 0.104	 0.127
AKR1C3	HGNC:386	-	0	 0.121	 0.164
AKR1C4	HGNC:387	-	0	 0.098	 0.108
AKR1CL1	HGNC:23469	-	0	 0.082	 0.085
AKR1D1	HGNC:388	-	0	 0.103	 0.143
AKR1E2	HGNC:23437	-	0	 0.094	 0.115
AKR7A2	HGNC:389	-	0	 0.104	 0.127
AKR7A3	HGNC:390	-	0	 0.094	 0.104
AKR7L	HGNC:24056	-	0	 0.083	 0.086
AKT1	HGNC:391	-	0	 0.233	 0.402
AKT1S1	HGNC:28426	-	0	 0.114	 0.139
