gene_symbol	gene_code	status	other_associations	mean_prediction	prediction
A1BG	HGNC:5	-	0	 0.090	0.087
A1CF	HGNC:24086	-	0	 0.097	0.087
A2M	HGNC:7	-	0	 0.176	0.121
A2ML1	HGNC:23336	-	0	 0.084	0.089
A3GALT2	HGNC:30005	-	0	 0.082	0.081
A4GALT	HGNC:18149	-	0	 0.096	0.101
A4GNT	HGNC:17968	-	0	 0.097	0.099
AAAS	HGNC:13666	-	0	 0.109	0.093
AACS	HGNC:21298	-	0	 0.092	0.088
AADAC	HGNC:17	-	0	 0.104	0.120
AADACL2	HGNC:24427	-	0	 0.084	0.083
AADACL3	HGNC:32037	-	0	 0.082	0.081
AADACL4	HGNC:32038	-	0	 0.083	0.081
AADAT	HGNC:17929	-	0	 0.092	0.094
AAED1	HGNC:16881	-	0	 0.091	0.088
AAGAB	HGNC:25662	-	0	 0.095	0.089
AAK1	HGNC:19679	-	0	 0.109	0.104
AAMDC	HGNC:30205	-	0	 0.096	0.094
AAMP	HGNC:18	-	0	 0.103	0.100
AANAT	HGNC:19	-	0	 0.096	0.104
AAR2	HGNC:15886	-	0	 0.095	0.090
AARD	HGNC:33842	-	0	 0.088	0.085
AARS	HGNC:20	-	0	 0.112	0.101
AARS2	HGNC:21022	-	0	 0.092	0.093
AARSD1	HGNC:28417	-	0	 0.096	0.094
AASDH	HGNC:23993	-	0	 0.088	0.107
AASDHPPT	HGNC:14235	-	0	 0.100	0.096
AASS	HGNC:17366	-	0	 0.107	0.102
AATF	HGNC:19235	-	0	 0.118	0.124
AATK	HGNC:21	-	0	 0.101	0.111
ABAT	HGNC:23	-	0	 0.128	0.250
ABCA1	HGNC:29	-	1	 0.568	0.212
ABCA10	HGNC:30	-	0	 0.091	0.085
ABCA12	HGNC:14637	-	0	 0.107	0.101
ABCA13	HGNC:14638	-	0	 0.093	0.084
ABCA2	HGNC:32	-	0	 0.127	0.127
ABCA3	HGNC:33	-	0	 0.155	0.109
ABCA4	HGNC:34	-	0	 0.105	0.097
ABCA5	HGNC:35	-	0	 0.102	0.092
ABCA6	HGNC:36	-	0	 0.106	0.112
ABCA7	HGNC:37	-	1	 0.246	0.633
ABCA8	HGNC:38	-	0	 0.109	0.118
ABCA9	HGNC:39	-	0	 0.097	0.093
ABCB1	HGNC:40	-	0	 0.141	0.122
ABCB10	HGNC:41	-	0	 0.105	0.094
ABCB11	HGNC:42	-	0	 0.111	0.109
ABCB4	HGNC:45	-	0	 0.125	0.118
ABCB5	HGNC:46	-	0	 0.095	0.087
ABCB6	HGNC:47	-	0	 0.119	0.103
ABCB7	HGNC:48	-	0	 0.110	0.102
ABCB8	HGNC:49	-	0	 0.103	0.101
ABCB9	HGNC:50	-	0	 0.119	0.103
ABCC1	HGNC:51	-	0	 0.125	0.118
ABCC10	HGNC:52	-	0	 0.101	0.089
ABCC11	HGNC:14639	-	0	 0.094	0.086
ABCC12	HGNC:14640	-	0	 0.090	0.086
ABCC2	HGNC:53	-	0	 0.110	0.106
ABCC3	HGNC:54	-	0	 0.134	0.122
ABCC4	HGNC:55	-	0	 0.117	0.101
ABCC5	HGNC:56	-	0	 0.145	0.131
ABCC6	HGNC:57	-	0	 0.109	0.105
ABCC8	HGNC:59	-	0	 0.136	0.343
ABCC9	HGNC:60	-	0	 0.115	0.267
ABCD1	HGNC:61	-	0	 0.118	0.121
ABCD2	HGNC:66	-	0	 0.115	0.106
ABCD3	HGNC:67	-	0	 0.119	0.099
ABCD4	HGNC:68	-	0	 0.104	0.097
ABCE1	HGNC:69	-	0	 0.119	0.102
ABCF1	HGNC:70	-	0	 0.108	0.088
ABCF2	HGNC:71	-	0	 0.102	0.103
ABCF3	HGNC:72	-	0	 0.094	0.093
ABCG1	HGNC:73	-	0	 0.177	0.117
ABCG2	HGNC:74	-	1	 0.427	0.130
ABCG4	HGNC:13884	-	0	 0.105	0.113
ABCG5	HGNC:13886	-	0	 0.107	0.095
ABCG8	HGNC:13887	-	0	 0.105	0.087
ABHD1	HGNC:17553	-	0	 0.090	0.096
ABHD10	HGNC:25656	-	0	 0.098	0.092
ABHD11	HGNC:16407	-	0	 0.096	0.094
ABHD12	HGNC:15868	-	0	 0.093	0.089
ABHD12B	HGNC:19837	-	0	 0.084	0.086
ABHD13	HGNC:20293	-	0	 0.092	0.092
ABHD14A	HGNC:24538	-	0	 0.103	0.093
ABHD14B	HGNC:28235	-	0	 0.098	0.093
ABHD15	HGNC:26971	-	0	 0.094	0.104
ABHD16A	HGNC:13921	-	0	 0.102	0.102
ABHD16B	HGNC:16128	-	0	 0.084	0.088
ABHD17A	HGNC:28756	-	0	 0.096	0.087
ABHD17B	HGNC:24278	-	0	 0.095	0.092
ABHD17C	HGNC:26925	-	0	 0.097	0.100
ABHD2	HGNC:18717	-	0	 0.109	0.108
ABHD3	HGNC:18718	-	0	 0.105	0.109
ABHD4	HGNC:20154	-	0	 0.100	0.099
ABHD5	HGNC:21396	-	0	 0.110	0.105
ABHD6	HGNC:21398	-	0	 0.103	0.109
ABHD8	HGNC:23759	-	0	 0.102	0.105
ABI1	HGNC:11320	-	0	 0.120	0.101
ABI2	HGNC:24011	-	0	 0.117	0.099
ABI3	HGNC:29859	-	0	 0.107	0.101
ABI3BP	HGNC:17265	-	0	 0.105	0.111
ABL1	HGNC:76	-	0	 0.169	0.123
ABL2	HGNC:77	-	0	 0.125	0.108
ABLIM1	HGNC:78	-	0	 0.150	0.128
ABLIM2	HGNC:19195	-	0	 0.094	0.094
ABLIM3	HGNC:29132	-	0	 0.113	0.117
ABO	HGNC:79	-	3	 0.598	0.185
ABR	HGNC:81	-	0	 0.120	0.137
ABRA	HGNC:30655	-	0	 0.094	0.090
ABRACL	HGNC:21230	-	0	 0.097	0.089
ABT1	HGNC:17369	-	0	 0.101	0.096
ABTB1	HGNC:18275	-	0	 0.101	0.103
ABTB2	HGNC:23842	-	0	 0.115	0.122
ACAA1	HGNC:82	-	0	 0.115	0.115
ACAA2	HGNC:83	-	0	 0.115	0.129
ACACA	HGNC:84	-	0	 0.126	0.196
ACACB	HGNC:85	-	0	 0.109	0.140
ACAD10	HGNC:21597	-	0	 0.089	0.086
ACAD11	HGNC:30211	-	0	 0.088	0.085
ACAD8	HGNC:87	-	0	 0.105	0.134
ACAD9	HGNC:21497	-	0	 0.093	0.087
ACADL	HGNC:88	-	0	 0.109	0.182
ACADM	HGNC:89	-	0	 0.123	0.235
ACADS	HGNC:90	-	0	 0.112	0.193
ACADSB	HGNC:91	-	0	 0.116	0.165
ACADVL	HGNC:92	-	0	 0.118	0.187
ACAN	HGNC:319	-	0	 0.110	0.108
ACAP1	HGNC:16467	-	0	 0.119	0.100
ACAP2	HGNC:16469	-	0	 0.109	0.094
ACAP3	HGNC:16754	-	0	 0.095	0.098
ACAT1	HGNC:93	-	0	 0.116	0.139
ACAT2	HGNC:94	-	0	 0.111	0.136
ACBD3	HGNC:15453	-	0	 0.105	0.098
ACBD4	HGNC:23337	-	0	 0.092	0.087
ACBD5	HGNC:23338	-	0	 0.094	0.090
ACBD6	HGNC:23339	-	0	 0.098	0.099
ACBD7	HGNC:17715	-	0	 0.084	0.086
ACCS	HGNC:23989	-	0	 0.090	0.089
ACCSL	HGNC:34391	-	0	 0.086	0.083
ACD	HGNC:25070	-	0	 0.110	0.101
ACE	HGNC:2707	-	0	 0.116	0.136
